metal,adsorbate,atom1,atom2,bond_type,rho,laplacian,abs_V_over_G,bond_group
NbN,Li2S4,S,Nb,S-Nb,0.05339652798,0.1260408107,1.7371381442868197,M–S
NbN,Li2S4,S,Nb,S-Nb,0.05256759559,0.1018396069,1.6673006770297818,M–S
NbN,Li2S4,Li,N,Li-N,0.03446115185,0.06051604251,1.735697814947124,N–Li
NbN,Li2S4,Li,N,Li-N,0.0338866349,0.144597643,2.054280089017497,N–Li
NbN,Li2S8,S,Nb,S-Nb,0.1127449267,0.1710246867,1.41090611447729,M–S
NbN,Li2S8,S,Nb,S-Nb,0.07915612206,0.05897396043,1.2850164913688216,M–S
NbN,Li2S8,S,Nb,S-Nb,0.07632128474,0.1399014277,1.5574161239856543,M–S
NbN,Li2S8,S,Nb,S-Nb,0.07363300422,0.1498875715,1.6031937870567603,M–S
NbN,Li2S8,S,Nb,S-Nb,0.05977885184,0.06064056726,1.4170854154979222,M–S
NbN,Li2S8,S,Nb,S-Nb,0.07889391,0.146948508,1.5552778151210649,M–S
NbN,S8,S,Nb,S-Nb,0.1426786353,0.2167127788,1.366126423091342,M–S
NbN,S8,S,Nb,S-Nb,0.07308562491,0.1549939606,1.6198319254265705,M–S
NbN,S8,S,Nb,S-Nb,0.07222556753,0.0549337002,1.3043675989794723,M–S
NbN,S8,S,Nb,S-Nb,0.07212736452,0.03912998503,1.2306879037157412,M–S
NbN,S8,S,Nb,S-Nb,0.07175122748,0.1147561074,1.524491249825058,M–S
NbN,S8,S,Nb,S-Nb,0.0600028542,0.05060626774,1.3631384274437446,M–S
NbN,S8,S,Nb,S-Nb,0.05383207166,0.1218581508,1.7194210071719451,M–S
ScN,Li2S4,S,Sc,S-Sc,0.03767804168,0.03890503808,1.521718296064225,M–S
ScN,Li2S4,Li,N,Li-N,0.03312093752,0.165299436,2.106192792607302,N–Li
ScN,Li2S4,S,Sc,S-Sc,0.03265410072,0.0299113786,1.5134562108788343,M–S
ScN,Li2S4,S,N,S-N,0.02179756257,0.04840257598,1.9343556385983,N–S
ScN,Li2S4,Li,N,Li-N,0.0341803077,0.258394106,2.209667028616644,N–Li
ScN,Li2S8,S,N,S-N,0.1810456931,-0.2044707258,0.6135690714216512,N–S
ScN,Li2S8,S,N,S-N,0.03462578502,0.07722328207,1.8238989764910565,N–S
ScN,Li2S8,S,Sc,S-Sc,0.03394883018,0.07997100009,1.849009584903809,M–S
ScN,Li2S8,S,N,S-N,0.180104779,-0.189930508,0.6437015171640587,N–S
