metal,adsorbate,bond_cat,ICOHP_mean,n,ICOHP_mean_short,n_short
NbN,Li2S4,M–S,-2.612355,2,,0
NbN,Li2S4,N–Li,-0.553965,2,-0.553965,2
NbN,Li2S4,N–S,-0.18076,2,,0
NbN,Li2S8,M–S,-3.8141133333333332,6,-4.000376,5
NbN,Li2S8,N–Li,-0.40902,1,-0.40902,1
NbN,Li2S8,N–S,-0.13244,1,,0
NbN,S8,M–S,-3.7600285714285713,7,-7.70141,1
NbN,S8,N–S,-0.07828,1,,0
ScN,Li2S4,M–Li,-0.34550000000000003,2,,0
ScN,Li2S4,M–S,-1.93519,2,,0
ScN,Li2S4,N–Li,-0.61805,2,-0.61805,2
ScN,Li2S4,N–S,-0.21062,1,,0
ScN,Li2S8,M–S,-1.315182857142857,7,,0
ScN,Li2S8,N–S,-4.5467699999999995,3,-6.58914,2
ScN,S8,M–S,-1.4163866666666667,3,,0
ScN,S8,N–S,-0.20583,1,,0
TiN,Li2S4,M–Li,-0.31299333333333335,3,,0
TiN,Li2S4,M–S,-1.970875,2,,0
TiN,Li2S4,N–Li,-0.5935699999999999,2,-0.5935699999999999,2
TiN,Li2S4,N–S,-0.20981,2,,0
TiN,Li2S8,M–Li,-0.314395,2,,0
TiN,Li2S8,M–S,-3.0274485714285717,7,-3.3277120000000004,5
TiN,Li2S8,N–Li,-0.33181,2,-0.33181,2
TiN,Li2S8,N–S,-0.07286,1,,0
TiN,S8,M–S,-2.279452857142857,7,-2.7380099999999996,3
TiN,S8,N–S,-0.15449,1,,0
VN,Li2S4,M–Li,-0.29447,2,,0
VN,Li2S4,M–S,-2.026855,2,,0
VN,Li2S4,N–Li,-0.61221,2,-0.61221,2
VN,Li2S4,N–S,-0.277185,2,,0
VN,Li2S8,M–Li,-0.3421,1,,0
VN,Li2S8,M–S,-2.083315,2,-2.26787,1
VN,Li2S8,N–Li,-0.64615,1,-0.64615,1
VN,Li2S8,N–S,-0.14713333333333334,3,,0
VN,S8,M–S,-2.2735483333333333,6,-2.3802175,4
VN,S8,N–S,-0.18219400000000002,5,,0
VN_U,Li2S4,M–Li,-0.20009857142857143,7,,0
VN_U,Li2S4,M–S,-1.2239399999999998,2,-1.2239399999999998,2
VN_U,Li2S4,N–Li,-0.26183999999999996,2,-0.26183999999999996,2
VN_U,Li2S4,N–S,-0.09043,1,,0
VN_U,Li2S8,M–Li,-0.23568666666666668,3,,0
VN_U,Li2S8,M–S,-1.2644225,4,-1.2644225,4
VN_U,Li2S8,N–Li,-0.22127,1,-0.22127,1
VN_U,S8,M–S,-1.5120375,8,-1.5732828571428572,7
VN_U,S8,N–S,-0.071605,2,,0
ZrN,Li2S4,M–Li,-0.41629,2,,0
ZrN,Li2S4,M–S,-3.231768,5,-4.73756,2
ZrN,Li2S4,N–Li,-0.275865,2,-0.37574,1
ZrN,Li2S8,M–S,-2.648848888888889,9,-4.98814,1
ZrN,Li2S8,N–S,-0.19856333333333331,3,,0
ZrN,S8,M–S,-2.247961818181818,11,,0
ZrN,S8,N–S,-0.08485,1,,0
