x,y,n,r,R2,p
dQ_adsorbate,dQ_S,18,0.9999565068802653,0.999913015652182,6.436418871360605e-34
dQ_S,rho_MS_sum,17,0.8952774086211198,0.8015216383873476,1.206194155599566e-06
dQ_adsorbate,rho_MS_sum,17,0.8942277228620463,0.7996432203350408,1.2957995843833446e-06
dQ_adsorbate,dQ_metal,18,-0.802095725814098,0.6433575533692447,6.22547962849391e-05
dQ_S,dQ_metal,18,-0.8018588660867859,0.6429776411219861,6.28030237074692e-05
rho_MS,rho_MS_sum,17,0.7972065070144927,0.6355382148262484,0.00012699556079141642
E_ads,rho_MS_sum,17,0.7477429974261663,0.5591195901998678,0.0005583573145188293
d_band,ICOHP_MS,18,-0.7433345435660587,0.5525462436585608,0.00040739479768076107
E_ads,lap_MS,17,0.7426230322595233,0.5514889680423289,0.0006386446677210213
E_ads,dQ_S,18,0.7098671230252821,0.503911332352191,0.0009660904382310987
E_ads,dQ_adsorbate,18,0.7098407366033955,0.5038738713416512,0.0009667036761910114
dQ_S,dQ_N,18,-0.6951918390251267,0.4832916930471377,0.0013612075329155907
dQ_adsorbate,dQ_N,18,-0.6947955015126512,0.48274078892221656,0.0013734995483014449
rho_MS,lap_MS,17,0.6935227042881142,0.48097374136309917,0.002018623466695536
VG_MS,ICOHP_MS,17,-0.6823468251222243,0.4655971897543794,0.002545776258633392
rho_MS,VG_MS,17,-0.6728129123547003,0.45267721503121366,0.0030797725404788806
rho_MS,ICOHP_MS,17,0.6687334645044072,0.44720444654806724,0.0033345104573609865
dQ_metal,rho_MS_sum,17,-0.6672043679967925,0.4451616686739993,0.003434298616610144
dQ_metal,ICOHP_MS,18,-0.6622394481440742,0.43856108667816796,0.0027507318830760044
lap_MS,rho_MS_sum,17,0.6535304151954825,0.42710200358557976,0.004439192510711248
E_ads,rho_MS,17,0.613441573456896,0.3763105640452723,0.00882066555485555
E_ads,dQ_metal,18,-0.5975391365636561,0.3570530197252396,0.008825102757656803
dQ_adsorbate,rho_MS,17,0.579636741061078,0.3359787515879072,0.014739289938524636
dQ_S,rho_MS,17,0.5789596793124345,0.33519431026955704,0.014883578555150143
d_band,rho_MS,17,-0.5722794112663844,0.3275037245593995,0.016367668792877127
d_band,VG_MS,17,0.5578525219523777,0.311199436248628,0.019968799017321327
dQ_N,rho_MS_sum,17,-0.5548235582604955,0.3078291808008374,0.020797836098070788
rho_MS_sum,ICOHP_MS,17,0.5406708702061381,0.29232498988946265,0.025032998050316585
dQ_adsorbate,ICOHP_MS,18,0.5338870704160792,0.2850354039574635,0.0224836174167589
dQ_S,ICOHP_MS,18,0.5319510486663309,0.2829719181772092,0.02307044890257571
dQ_metal,rho_MS,17,-0.5057025829873844,0.2557351024401124,0.03836299812803773
dQ_S,lap_MS,17,0.5019994875902678,0.2520034855408914,0.04004040897371336
dQ_adsorbate,lap_MS,17,0.5002544546607206,0.25025451940789495,0.040849891402047124
d_band,dQ_metal,18,0.42526838377992005,0.18085319824278537,0.0785146263286961
VG_MS,rho_MS_sum,17,-0.42091336312899386,0.17716805926056026,0.0924720578250483
d_band,rho_MS_sum,17,-0.388906877714434,0.1512485595335897,0.12286873546341667
E_ads,dQ_N,18,-0.3790515236618538,0.14368005759037292,0.12083444505182846
d_band,dQ_adsorbate,18,-0.35279504997837885,0.12446434728924682,0.1510064454604942
d_band,dQ_S,18,-0.35167460487006424,0.12367502771051582,0.15239927323314373
dQ_metal,VG_MS,17,0.2957200646714077,0.08745035664926155,0.2491487929363535
dQ_N,lap_MS,17,-0.28145235088889314,0.07921542582088463,0.27378872859519177
dQ_metal,lap_MS,17,-0.2803022128447246,0.07856933052564931,0.2758376306120033
dQ_adsorbate,VG_MS,17,-0.2510685999337469,0.06303544187269186,0.33103917367116886
dQ_S,VG_MS,17,-0.24751863399673493,0.061265474175609624,0.3381488725049172
dQ_metal,dQ_N,18,0.1826990937350599,0.033378958851612205,0.4680707686953195
d_band,lap_MS,17,-0.17964862737044443,0.032273629316084795,0.4902340863681266
E_ads,VG_MS,17,-0.153223019582538,0.023477293729990825,0.5571240662951669
E_ads,d_band,18,-0.12895058918696345,0.016628254451665016,0.6100847958176825
dQ_N,rho_MS,17,-0.11630212054431449,0.01352618324310426,0.6566707745979579
lap_MS,ICOHP_MS,17,0.1156297923430755,0.01337024887730276,0.6585419461395711
E_ads,ICOHP_MS,18,0.10951598193075647,0.011993750298257777,0.6653160214533895
dQ_N,VG_MS,17,-0.0835514610218785,0.006980846638890484,0.7498709599418028
d_band,dQ_N,18,-0.02846019764097949,0.0008099828497636146,0.9107442645917374
dQ_N,ICOHP_MS,18,-0.02797641985662999,0.0007826800679944409,0.9122558851105099
lap_MS,VG_MS,17,0.00847744730211581,7.186711276015063e-05,0.9742397389529618
