atom_index,element,region,q_combi,q_ref,delta_q
6,Nb,surface_metal,11.2973,11.3387,-0.0415
7,Nb,surface_metal,11.2987,11.3387,-0.0400
14,Nb,surface_metal,11.3413,11.3387,0.0026
15,Nb,surface_metal,11.2663,11.3388,-0.0724
22,Nb,surface_metal,11.2837,11.3387,-0.0550
23,Nb,surface_metal,11.2857,11.3387,-0.0530
30,Nb,surface_metal,11.2632,11.3388,-0.0755
31,Nb,surface_metal,11.3337,11.3387,-0.0050
38,Nb,surface_metal,11.3306,11.3387,-0.0081
39,Nb,surface_metal,11.3358,11.3387,-0.0030
46,Nb,surface_metal,11.3289,11.3387,-0.0098
47,Nb,surface_metal,11.2678,11.3387,-0.0709
54,Nb,surface_metal,11.2862,11.3387,-0.0526
55,Nb,surface_metal,11.2858,11.3387,-0.0529
62,Nb,surface_metal,11.2679,11.3387,-0.0709
63,Nb,surface_metal,11.3474,11.3387,0.0086
70,Nb,surface_metal,11.3011,11.3387,-0.0376
71,Nb,surface_metal,11.2920,11.3387,-0.0467
79,N,surface_N,6.6173,6.5770,0.0402
80,N,surface_N,6.6276,6.5771,0.0505
87,N,surface_N,6.6129,6.5771,0.0358
88,N,surface_N,6.5865,6.5771,0.0093
95,N,surface_N,6.6085,6.5771,0.0313
96,N,surface_N,6.6074,6.5771,0.0303
103,N,surface_N,6.6066,6.5771,0.0294
104,N,surface_N,6.5739,6.5771,-0.0032
111,N,surface_N,6.7477,6.5771,0.1706
112,N,surface_N,6.7473,6.5771,0.1701
119,N,surface_N,6.5776,6.5771,0.0005
120,N,surface_N,6.6086,6.5771,0.0314
127,N,surface_N,6.6091,6.5771,0.0320
128,N,surface_N,6.6086,6.5771,0.0315
135,N,surface_N,6.5820,6.5771,0.0049
136,N,surface_N,6.6103,6.5771,0.0332
143,N,surface_N,6.6278,6.5771,0.0507
144,N,surface_N,6.6171,6.5771,0.0401
145,S,adsorbate_S,6.5936,6.7083,-0.1147
146,S,adsorbate_S,6.5883,6.7049,-0.1166
147,S,adsorbate_S,6.2145,6.1760,0.0385
148,S,adsorbate_S,6.2096,6.1747,0.0349
149,Li,adsorbate_Li,2.1337,2.1178,0.0159
150,Li,adsorbate_Li,2.1334,2.1181,0.0153
