atom_index,element,region,q_combi,q_ref,delta_q
6,Nb,surface_metal,11.2551,11.3387,-0.0836
7,Nb,surface_metal,11.2514,11.3387,-0.0874
14,Nb,surface_metal,11.2583,11.3387,-0.0804
15,Nb,surface_metal,11.1969,11.3388,-0.1419
22,Nb,surface_metal,11.3025,11.3387,-0.0363
23,Nb,surface_metal,11.2646,11.3387,-0.0741
30,Nb,surface_metal,11.2547,11.3388,-0.0840
31,Nb,surface_metal,11.2991,11.3387,-0.0397
38,Nb,surface_metal,11.2540,11.3387,-0.0847
39,Nb,surface_metal,11.2314,11.3387,-0.1073
46,Nb,surface_metal,11.0673,11.3387,-0.2714
47,Nb,surface_metal,11.2429,11.3387,-0.0958
54,Nb,surface_metal,11.2739,11.3387,-0.0649
55,Nb,surface_metal,11.2070,11.3387,-0.1317
62,Nb,surface_metal,11.2483,11.3387,-0.0904
63,Nb,surface_metal,11.2867,11.3387,-0.0520
70,Nb,surface_metal,11.2956,11.3387,-0.0432
71,Nb,surface_metal,11.2469,11.3387,-0.0918
79,N,surface_N,6.5945,6.5770,0.0175
80,N,surface_N,6.5642,6.5771,-0.0128
87,N,surface_N,6.5791,6.5771,0.0020
88,N,surface_N,6.5653,6.5771,-0.0119
95,N,surface_N,6.6033,6.5771,0.0261
96,N,surface_N,6.6056,6.5771,0.0285
103,N,surface_N,6.5886,6.5771,0.0115
104,N,surface_N,6.5606,6.5771,-0.0165
111,N,surface_N,6.5690,6.5771,-0.0081
112,N,surface_N,6.5659,6.5771,-0.0112
119,N,surface_N,6.5740,6.5771,-0.0031
120,N,surface_N,6.5959,6.5771,0.0188
127,N,surface_N,6.5871,6.5771,0.0100
128,N,surface_N,6.5555,6.5771,-0.0216
135,N,surface_N,6.5406,6.5771,-0.0365
136,N,surface_N,6.5503,6.5771,-0.0268
143,N,surface_N,6.5858,6.5771,0.0087
144,N,surface_N,6.6134,6.5771,0.0363
145,S,adsorbate_S,6.1460,5.9975,0.1485
146,S,adsorbate_S,6.4101,6.0007,0.4094
147,S,adsorbate_S,6.5965,5.9989,0.5976
148,S,adsorbate_S,6.3697,6.0013,0.3684
149,S,adsorbate_S,6.0411,5.9959,0.0452
150,S,adsorbate_S,6.1648,6.0040,0.1609
151,S,adsorbate_S,6.4500,5.9963,0.4536
152,S,adsorbate_S,6.4519,6.0050,0.4469
