atom_index,element,region,q_combi,q_ref,delta_q
6,Sc,surface_metal,9.2343,9.2329,0.0015
7,Sc,surface_metal,9.2362,9.2329,0.0033
14,Sc,surface_metal,9.2348,9.2329,0.0019
15,Sc,surface_metal,9.2273,9.2328,-0.0055
22,Sc,surface_metal,9.2598,9.2329,0.0269
23,Sc,surface_metal,9.2329,9.2329,0.0001
30,Sc,surface_metal,9.2331,9.2328,0.0002
31,Sc,surface_metal,9.2217,9.2329,-0.0112
38,Sc,surface_metal,9.2998,9.2329,0.0670
39,Sc,surface_metal,9.2282,9.2329,-0.0047
46,Sc,surface_metal,9.2543,9.2329,0.0214
47,Sc,surface_metal,9.2561,9.2329,0.0233
54,Sc,surface_metal,9.2305,9.2329,-0.0024
55,Sc,surface_metal,9.2547,9.2329,0.0218
62,Sc,surface_metal,9.2586,9.2329,0.0258
63,Sc,surface_metal,9.2630,9.2329,0.0301
70,Sc,surface_metal,9.2246,9.2329,-0.0083
71,Sc,surface_metal,9.2489,9.2329,0.0160
79,N,surface_N,6.7726,6.7796,-0.0069
80,N,surface_N,6.7580,6.7840,-0.0260
87,N,surface_N,6.7499,6.7825,-0.0326
88,N,surface_N,6.7019,6.7825,-0.0806
95,N,surface_N,6.7590,6.7825,-0.0235
96,N,surface_N,6.7365,6.7840,-0.0475
103,N,surface_N,6.7441,6.7825,-0.0384
104,N,surface_N,6.7622,6.7825,-0.0203
111,N,surface_N,6.6659,6.7825,-0.1166
112,N,surface_N,7.1477,6.7825,0.3652
119,N,surface_N,7.1194,6.7825,0.3369
120,N,surface_N,6.7472,6.7825,-0.0353
127,N,surface_N,6.7625,6.7825,-0.0200
128,N,surface_N,6.7520,6.7825,-0.0306
135,N,surface_N,6.7061,6.7825,-0.0764
136,N,surface_N,6.7561,6.7825,-0.0265
143,N,surface_N,6.7440,6.7825,-0.0385
144,N,surface_N,6.7690,6.7825,-0.0136
145,S,adsorbate_S,5.8247,6.6190,-0.7943
146,S,adsorbate_S,5.8470,6.7392,-0.8922
147,S,adsorbate_S,6.5770,6.0267,0.5503
148,S,adsorbate_S,6.2021,6.0131,0.1890
149,S,adsorbate_S,6.0831,6.0514,0.0317
150,S,adsorbate_S,6.1454,6.1490,-0.0035
151,S,adsorbate_S,6.1051,6.0095,0.0955
152,S,adsorbate_S,6.7161,6.1552,0.5609
153,Li,adsorbate_Li,2.1385,2.1199,0.0186
154,Li,adsorbate_Li,2.1266,2.1173,0.0093
