atom_index,element,region,q_combi,q_ref,delta_q
6,Sc,surface_metal,9.2223,9.2329,-0.0106
7,Sc,surface_metal,9.2215,9.2329,-0.0113
14,Sc,surface_metal,9.2247,9.2329,-0.0082
15,Sc,surface_metal,9.2194,9.2328,-0.0135
22,Sc,surface_metal,9.2186,9.2329,-0.0143
23,Sc,surface_metal,9.2231,9.2329,-0.0098
30,Sc,surface_metal,9.2186,9.2328,-0.0143
31,Sc,surface_metal,9.2161,9.2329,-0.0168
38,Sc,surface_metal,9.2262,9.2329,-0.0066
39,Sc,surface_metal,9.2176,9.2329,-0.0153
46,Sc,surface_metal,9.2139,9.2329,-0.0189
47,Sc,surface_metal,9.2213,9.2329,-0.0116
54,Sc,surface_metal,9.2204,9.2329,-0.0125
55,Sc,surface_metal,9.2173,9.2329,-0.0156
62,Sc,surface_metal,9.2167,9.2329,-0.0161
63,Sc,surface_metal,9.2300,9.2329,-0.0029
70,Sc,surface_metal,9.2198,9.2329,-0.0131
71,Sc,surface_metal,9.2194,9.2329,-0.0134
79,N,surface_N,6.7902,6.7796,0.0106
80,N,surface_N,6.7830,6.7840,-0.0010
87,N,surface_N,6.7869,6.7825,0.0044
88,N,surface_N,6.7725,6.7825,-0.0100
95,N,surface_N,6.7846,6.7825,0.0021
96,N,surface_N,6.7833,6.7840,-0.0007
103,N,surface_N,6.7837,6.7825,0.0013
104,N,surface_N,6.7264,6.7825,-0.0562
111,N,surface_N,6.7458,6.7825,-0.0366
112,N,surface_N,6.7139,6.7825,-0.0687
119,N,surface_N,6.7322,6.7825,-0.0502
120,N,surface_N,6.7799,6.7825,-0.0026
127,N,surface_N,6.7826,6.7825,0.0001
128,N,surface_N,6.7805,6.7825,-0.0021
135,N,surface_N,6.7049,6.7825,-0.0776
136,N,surface_N,6.7657,6.7825,-0.0168
143,N,surface_N,6.7416,6.7825,-0.0409
144,N,surface_N,6.7860,6.7825,0.0035
145,S,adsorbate_S,6.0278,5.9975,0.0303
146,S,adsorbate_S,6.0879,6.0007,0.0872
147,S,adsorbate_S,6.0741,5.9989,0.0752
148,S,adsorbate_S,6.0834,6.0013,0.0821
149,S,adsorbate_S,6.0259,5.9959,0.0299
150,S,adsorbate_S,6.0149,6.0040,0.0110
151,S,adsorbate_S,6.0413,5.9963,0.0449
152,S,adsorbate_S,6.1210,6.0050,0.1160
