atom_index,element,region,q_combi,q_ref,delta_q
6,Ti,surface_metal,10.2668,10.2635,0.0034
7,Ti,surface_metal,10.2671,10.2635,0.0036
14,Ti,surface_metal,10.3475,10.2635,0.0839
15,Ti,surface_metal,10.2669,10.2635,0.0034
22,Ti,surface_metal,10.2774,10.2635,0.0139
23,Ti,surface_metal,10.2679,10.2635,0.0044
30,Ti,surface_metal,10.2725,10.2635,0.0090
31,Ti,surface_metal,10.3487,10.2635,0.0852
38,Ti,surface_metal,10.2760,10.2635,0.0124
39,Ti,surface_metal,10.2741,10.2635,0.0106
46,Ti,surface_metal,10.3460,10.2635,0.0825
47,Ti,surface_metal,10.2662,10.2635,0.0027
54,Ti,surface_metal,10.2677,10.2635,0.0042
55,Ti,surface_metal,10.2774,10.2635,0.0139
62,Ti,surface_metal,10.2651,10.2635,0.0016
63,Ti,surface_metal,10.3464,10.2635,0.0829
70,Ti,surface_metal,10.2833,10.2635,0.0198
71,Ti,surface_metal,10.2842,10.2635,0.0207
79,N,surface_N,6.6612,6.6635,-0.0023
80,N,surface_N,6.6717,6.6617,0.0100
87,N,surface_N,6.6627,6.6652,-0.0025
88,N,surface_N,6.6504,6.6635,-0.0131
95,N,surface_N,6.6534,6.6652,-0.0118
96,N,surface_N,6.6613,6.6618,-0.0004
103,N,surface_N,6.6607,6.6669,-0.0062
104,N,surface_N,6.6501,6.6635,-0.0134
111,N,surface_N,6.7335,6.6635,0.0700
112,N,surface_N,6.7153,6.6636,0.0517
119,N,surface_N,6.6309,6.6635,-0.0326
120,N,surface_N,6.6611,6.6635,-0.0024
127,N,surface_N,6.6477,6.6635,-0.0158
128,N,surface_N,6.6589,6.6618,-0.0029
135,N,surface_N,6.6311,6.6635,-0.0324
136,N,surface_N,6.6620,6.6635,-0.0015
143,N,surface_N,6.6764,6.6635,0.0129
144,N,surface_N,6.6482,6.6617,-0.0135
145,S,adsorbate_S,6.7980,6.8767,-0.0787
146,S,adsorbate_S,6.7204,6.9103,-0.1900
147,Li,adsorbate_Li,2.1441,2.1063,0.0378
148,Li,adsorbate_Li,2.1458,2.1065,0.0393
