atom_index,element,region,q_combi,q_ref,delta_q
6,Ti,surface_metal,10.2619,10.2635,-0.0016
7,Ti,surface_metal,10.2659,10.2635,0.0025
14,Ti,surface_metal,10.2984,10.2635,0.0349
15,Ti,surface_metal,10.2560,10.2635,-0.0074
22,Ti,surface_metal,10.2557,10.2635,-0.0079
23,Ti,surface_metal,10.2629,10.2635,-0.0006
30,Ti,surface_metal,10.2763,10.2635,0.0128
31,Ti,surface_metal,10.3202,10.2635,0.0567
38,Ti,surface_metal,10.3736,10.2635,0.1101
39,Ti,surface_metal,10.2561,10.2635,-0.0075
46,Ti,surface_metal,10.3026,10.2635,0.0391
47,Ti,surface_metal,10.2600,10.2635,-0.0035
54,Ti,surface_metal,10.2633,10.2635,-0.0002
55,Ti,surface_metal,10.2815,10.2635,0.0180
62,Ti,surface_metal,10.2729,10.2635,0.0094
63,Ti,surface_metal,10.3182,10.2635,0.0547
70,Ti,surface_metal,10.2750,10.2635,0.0115
71,Ti,surface_metal,10.2674,10.2635,0.0039
79,N,surface_N,6.6731,6.6635,0.0097
80,N,surface_N,6.6690,6.6617,0.0073
87,N,surface_N,6.6548,6.6652,-0.0104
88,N,surface_N,6.6232,6.6635,-0.0403
95,N,surface_N,6.6593,6.6652,-0.0059
96,N,surface_N,6.6630,6.6618,0.0012
103,N,surface_N,6.6557,6.6669,-0.0112
104,N,surface_N,6.6738,6.6635,0.0103
111,N,surface_N,6.8082,6.6635,0.1447
112,N,surface_N,6.8049,6.6636,0.1413
119,N,surface_N,6.6209,6.6635,-0.0427
120,N,surface_N,6.6561,6.6635,-0.0074
127,N,surface_N,6.6613,6.6635,-0.0022
128,N,surface_N,6.6608,6.6618,-0.0009
135,N,surface_N,6.6789,6.6635,0.0154
136,N,surface_N,6.6716,6.6635,0.0081
143,N,surface_N,6.6711,6.6635,0.0076
144,N,surface_N,6.6548,6.6617,-0.0069
145,S,adsorbate_S,7.3813,7.7645,-0.3832
146,Li,adsorbate_Li,2.1508,2.1176,0.0333
147,Li,adsorbate_Li,2.1521,2.1179,0.0342
