atom_index,element,region,q_combi,q_ref,delta_q
6,V,surface_metal,11.4554,11.4543,0.0011
7,V,surface_metal,11.4559,11.4543,0.0015
14,V,surface_metal,11.4634,11.4543,0.0091
15,V,surface_metal,11.4515,11.4541,-0.0026
22,V,surface_metal,11.4414,11.4543,-0.0129
23,V,surface_metal,11.4537,11.4543,-0.0006
30,V,surface_metal,11.4509,11.4541,-0.0032
31,V,surface_metal,11.4617,11.4543,0.0075
38,V,surface_metal,11.4516,11.4543,-0.0027
39,V,surface_metal,11.4520,11.4543,-0.0023
46,V,surface_metal,11.4628,11.4543,0.0085
47,V,surface_metal,11.4510,11.4543,-0.0033
54,V,surface_metal,11.4541,11.4543,-0.0002
55,V,surface_metal,11.4416,11.4543,-0.0127
62,V,surface_metal,11.4524,11.4543,-0.0018
63,V,surface_metal,11.4687,11.4543,0.0144
70,V,surface_metal,11.4554,11.4543,0.0011
71,V,surface_metal,11.4550,11.4543,0.0008
79,N,surface_N,6.4954,6.4948,0.0006
80,N,surface_N,6.5076,6.4943,0.0132
87,N,surface_N,6.4949,6.4945,0.0004
88,N,surface_N,6.4599,6.4946,-0.0347
95,N,surface_N,6.4913,6.4945,-0.0032
96,N,surface_N,6.4908,6.4943,-0.0035
103,N,surface_N,6.4950,6.4945,0.0005
104,N,surface_N,6.4519,6.4946,-0.0427
111,N,surface_N,6.5021,6.4944,0.0077
112,N,surface_N,6.5175,6.4947,0.0228
119,N,surface_N,6.4610,6.4944,-0.0334
120,N,surface_N,6.4940,6.4946,-0.0006
127,N,surface_N,6.4913,6.4945,-0.0032
128,N,surface_N,6.4920,6.4943,-0.0024
135,N,surface_N,6.4599,6.4944,-0.0345
136,N,surface_N,6.4963,6.4946,0.0016
143,N,surface_N,6.5063,6.4944,0.0119
144,N,surface_N,6.4948,6.4943,0.0005
145,S,adsorbate_S,6.7116,6.6724,0.0392
146,S,adsorbate_S,6.7188,6.6747,0.0441
147,S,adsorbate_S,6.0448,6.0449,-0.0001
148,S,adsorbate_S,6.1723,6.1671,0.0052
149,S,adsorbate_S,6.1754,6.1726,0.0028
150,S,adsorbate_S,6.0502,6.0474,0.0028
151,Li,adsorbate_Li,2.1122,2.1106,0.0015
152,Li,adsorbate_Li,2.1133,2.1106,0.0026
