atom_index,element,region,q_combi,q_ref,delta_q
6,V,surface_metal,11.4595,11.4543,0.0052
7,V,surface_metal,11.4811,11.4543,0.0268
14,V,surface_metal,11.4820,11.4543,0.0277
15,V,surface_metal,11.4242,11.4541,-0.0299
22,V,surface_metal,11.4749,11.4543,0.0206
23,V,surface_metal,11.4582,11.4543,0.0039
30,V,surface_metal,11.4427,11.4541,-0.0114
31,V,surface_metal,11.4870,11.4543,0.0328
38,V,surface_metal,11.5223,11.4543,0.0680
39,V,surface_metal,11.4501,11.4543,-0.0042
46,V,surface_metal,11.4851,11.4543,0.0308
47,V,surface_metal,11.4331,11.4543,-0.0211
54,V,surface_metal,11.4500,11.4543,-0.0043
55,V,surface_metal,11.4844,11.4543,0.0302
62,V,surface_metal,11.4397,11.4543,-0.0146
63,V,surface_metal,11.4911,11.4543,0.0368
70,V,surface_metal,11.4573,11.4543,0.0030
71,V,surface_metal,11.4766,11.4543,0.0223
79,N,surface_N,6.5080,6.4948,0.0132
80,N,surface_N,6.5382,6.4943,0.0439
87,N,surface_N,6.4877,6.4945,-0.0068
88,N,surface_N,6.4465,6.4946,-0.0482
95,N,surface_N,6.4774,6.4945,-0.0171
96,N,surface_N,6.4668,6.4943,-0.0275
103,N,surface_N,6.4942,6.4945,-0.0003
104,N,surface_N,6.5280,6.4946,0.0334
111,N,surface_N,6.6356,6.4944,0.1412
112,N,surface_N,6.6275,6.4947,0.1328
119,N,surface_N,6.4636,6.4944,-0.0308
120,N,surface_N,6.4908,6.4946,-0.0038
127,N,surface_N,6.4531,6.4945,-0.0414
128,N,surface_N,6.4563,6.4943,-0.0380
135,N,surface_N,6.5277,6.4944,0.0334
136,N,surface_N,6.4975,6.4946,0.0029
143,N,surface_N,6.5405,6.4944,0.0462
144,N,surface_N,6.4973,6.4943,0.0030
145,S,adsorbate_S,7.2390,7.7645,-0.5255
146,Li,adsorbate_Li,2.1384,2.1176,0.0208
147,Li,adsorbate_Li,2.1393,2.1179,0.0215
