atom_index,element,region,q_combi,q_slab,q_ads,delta_q
10,V,surface_metal,11.4459,11.4856,0.0000,-0.0397
11,V,surface_metal,11.4442,11.4856,0.0000,-0.0414
15,V,surface_metal,6.5306,6.5136,0.0000,0.0170
16,V,surface_metal,6.5380,6.5123,0.0000,0.0257
26,V,surface_metal,11.5332,11.4870,0.0000,0.0461
27,V,surface_metal,11.4367,11.4855,0.0000,-0.0488
31,V,surface_metal,6.5167,6.5076,0.0000,0.0091
32,V,surface_metal,6.4944,6.5077,0.0000,-0.0132
42,V,surface_metal,11.4376,11.4870,0.0000,-0.0495
43,V,surface_metal,11.4442,11.4856,0.0000,-0.0413
47,V,surface_metal,6.5236,6.5076,0.0000,0.0160
48,V,surface_metal,6.5234,6.5123,0.0000,0.0111
58,V,surface_metal,11.4369,11.4855,0.0000,-0.0486
59,V,surface_metal,11.4966,11.4870,0.0000,0.0095
63,V,surface_metal,6.5118,6.5076,0.0000,0.0042
64,V,surface_metal,6.4746,6.5077,0.0000,-0.0331
74,N,surface_N,11.4999,11.4855,0.0000,0.0144
75,N,surface_N,11.4613,11.4855,0.0000,-0.0242
79,N,surface_N,6.6612,6.5107,0.0000,0.1505
80,N,surface_N,6.6565,6.5137,0.0000,0.1428
90,N,surface_N,11.4759,11.4855,0.0000,-0.0096
91,N,surface_N,11.4414,11.4870,0.0000,-0.0457
95,N,surface_N,6.5040,6.5107,0.0000,-0.0066
96,N,surface_N,6.5170,6.5077,0.0000,0.0094
106,N,surface_N,11.4392,11.4856,0.0000,-0.0464
107,N,surface_N,11.4584,11.4870,0.0000,-0.0286
111,N,surface_N,6.5042,6.5076,0.0000,-0.0034
112,N,surface_N,6.5308,6.5107,0.0000,0.0201
122,N,surface_N,11.4344,11.4870,0.0000,-0.0527
123,N,surface_N,11.5246,11.4855,0.0000,0.0390
127,N,surface_N,6.4904,6.5123,0.0000,-0.0219
128,N,surface_N,6.5138,6.5077,0.0000,0.0061
138,N,surface_N,11.4502,11.4870,0.0000,-0.0369
139,N,surface_N,11.4453,11.4870,0.0000,-0.0418
143,N,surface_N,6.5472,6.5123,0.0000,0.0349
144,N,surface_N,6.5266,6.5107,0.0000,0.0159
145,S,adsorbate_S,6.6184,0.0000,6.7092,-0.0908
146,S,adsorbate_S,6.6115,0.0000,6.7086,-0.0972
147,S,adsorbate_S,6.1832,0.0000,6.1696,0.0136
148,S,adsorbate_S,6.1812,0.0000,6.1748,0.0064
149,Li,adsorbate_Li,2.1340,0.0000,2.1187,0.0152
150,Li,adsorbate_Li,2.1329,0.0000,2.1190,0.0139
