atom_index,element,region,q_combi,q_slab,q_ads,delta_q
10,V,surface_metal,11.4195,11.4856,0.0000,-0.0661
11,V,surface_metal,11.4522,11.4856,0.0000,-0.0334
15,V,surface_metal,6.5128,6.5136,0.0000,-0.0008
16,V,surface_metal,6.4989,6.5123,0.0000,-0.0134
26,V,surface_metal,11.4417,11.4870,0.0000,-0.0453
27,V,surface_metal,11.4144,11.4855,0.0000,-0.0711
31,V,surface_metal,6.4859,6.5076,0.0000,-0.0217
32,V,surface_metal,6.5036,6.5077,0.0000,-0.0041
42,V,surface_metal,11.4587,11.4870,0.0000,-0.0283
43,V,surface_metal,11.4135,11.4856,0.0000,-0.0721
47,V,surface_metal,6.5251,6.5076,0.0000,0.0176
48,V,surface_metal,6.4948,6.5123,0.0000,-0.0175
58,V,surface_metal,11.4372,11.4855,0.0000,-0.0483
59,V,surface_metal,11.4499,11.4870,0.0000,-0.0371
63,V,surface_metal,6.5123,6.5076,0.0000,0.0048
64,V,surface_metal,6.4488,6.5077,0.0000,-0.0589
74,N,surface_N,11.4507,11.4855,0.0000,-0.0348
75,N,surface_N,11.4330,11.4855,0.0000,-0.0525
79,N,surface_N,6.4925,6.5107,0.0000,-0.0182
80,N,surface_N,6.4730,6.5137,0.0000,-0.0407
90,N,surface_N,11.4422,11.4855,0.0000,-0.0433
91,N,surface_N,11.4406,11.4870,0.0000,-0.0464
95,N,surface_N,6.4573,6.5107,0.0000,-0.0534
96,N,surface_N,6.5202,6.5077,0.0000,0.0125
106,N,surface_N,11.4368,11.4856,0.0000,-0.0488
107,N,surface_N,11.4892,11.4870,0.0000,0.0022
111,N,surface_N,6.5338,6.5076,0.0000,0.0262
112,N,surface_N,6.5206,6.5107,0.0000,0.0100
122,N,surface_N,11.4403,11.4870,0.0000,-0.0467
123,N,surface_N,11.4324,11.4855,0.0000,-0.0531
127,N,surface_N,6.4705,6.5123,0.0000,-0.0418
128,N,surface_N,6.4729,6.5077,0.0000,-0.0348
138,N,surface_N,11.4330,11.4870,0.0000,-0.0541
139,N,surface_N,11.3982,11.4870,0.0000,-0.0889
143,N,surface_N,6.4859,6.5123,0.0000,-0.0264
144,N,surface_N,6.5150,6.5107,0.0000,0.0043
145,S,adsorbate_S,6.3727,0.0000,5.9982,0.3746
146,S,adsorbate_S,6.3411,0.0000,6.0030,0.3381
147,S,adsorbate_S,6.3722,0.0000,5.9979,0.3743
148,S,adsorbate_S,6.3107,0.0000,5.9990,0.3116
149,S,adsorbate_S,6.4281,0.0000,6.0001,0.4280
150,S,adsorbate_S,6.1539,0.0000,6.0034,0.1505
151,S,adsorbate_S,6.0615,0.0000,5.9984,0.0630
152,S,adsorbate_S,6.4567,0.0000,6.0001,0.4566
