atom_index,element,region,q_combi,q_ref,delta_q
6,Zr,surface_metal,10.1351,10.1724,-0.0373
7,Zr,surface_metal,10.1649,10.1724,-0.0075
14,Zr,surface_metal,9.9834,10.1724,-0.1890
15,Zr,surface_metal,10.1323,10.1792,-0.0469
22,Zr,surface_metal,10.0121,10.1724,-0.1603
23,Zr,surface_metal,10.1426,10.1724,-0.0298
30,Zr,surface_metal,10.1278,10.1792,-0.0514
31,Zr,surface_metal,10.0134,10.1724,-0.1590
38,Zr,surface_metal,9.9792,10.1724,-0.1932
39,Zr,surface_metal,9.9532,10.1724,-0.2192
46,Zr,surface_metal,10.0339,10.1724,-0.1385
47,Zr,surface_metal,10.0189,10.1724,-0.1535
54,Zr,surface_metal,10.1733,10.1724,0.0009
55,Zr,surface_metal,10.1141,10.1724,-0.0583
62,Zr,surface_metal,10.0906,10.1724,-0.0818
63,Zr,surface_metal,10.0669,10.1724,-0.1056
70,Zr,surface_metal,10.1703,10.1724,-0.0021
71,Zr,surface_metal,10.1639,10.1724,-0.0085
79,N,surface_N,6.7635,6.7718,-0.0083
80,N,surface_N,6.8140,6.7699,0.0440
87,N,surface_N,6.7323,6.7647,-0.0324
88,N,surface_N,6.7327,6.7648,-0.0321
95,N,surface_N,6.7526,6.7647,-0.0122
96,N,surface_N,6.7136,6.7700,-0.0564
103,N,surface_N,6.6959,6.7647,-0.0689
104,N,surface_N,6.7219,6.7648,-0.0429
111,N,surface_N,6.7302,6.7701,-0.0398
112,N,surface_N,6.6775,6.7686,-0.0911
119,N,surface_N,6.6539,6.7701,-0.1162
120,N,surface_N,6.7332,6.7648,-0.0316
127,N,surface_N,6.7627,6.7647,-0.0020
128,N,surface_N,6.7673,6.7683,-0.0010
135,N,surface_N,6.7034,6.7701,-0.0666
136,N,surface_N,6.7516,6.7648,-0.0131
143,N,surface_N,6.7510,6.7701,-0.0191
144,N,surface_N,6.7659,6.7683,-0.0024
145,S,adsorbate_S,7.3148,6.6724,0.6424
146,S,adsorbate_S,7.2776,6.6747,0.6029
147,S,adsorbate_S,6.6417,6.0449,0.5968
148,S,adsorbate_S,6.5400,6.1671,0.3730
149,S,adsorbate_S,6.6043,6.1726,0.4317
150,S,adsorbate_S,6.5560,6.0474,0.5086
151,Li,adsorbate_Li,2.1461,2.1106,0.0355
152,Li,adsorbate_Li,2.1312,2.1106,0.0206
