atom_index,element,region,q_combi,q_ref,delta_q
6,Zr,surface_metal,10.1719,10.1724,-0.0004
7,Zr,surface_metal,10.1685,10.1724,-0.0039
14,Zr,surface_metal,10.1917,10.1724,0.0193
15,Zr,surface_metal,10.1553,10.1792,-0.0240
22,Zr,surface_metal,10.1575,10.1724,-0.0149
23,Zr,surface_metal,10.1684,10.1724,-0.0040
30,Zr,surface_metal,10.1714,10.1792,-0.0078
31,Zr,surface_metal,10.2346,10.1724,0.0622
38,Zr,surface_metal,10.3238,10.1724,0.1513
39,Zr,surface_metal,10.0443,10.1724,-0.1281
46,Zr,surface_metal,10.1875,10.1724,0.0150
47,Zr,surface_metal,10.1541,10.1724,-0.0183
54,Zr,surface_metal,10.1646,10.1724,-0.0078
55,Zr,surface_metal,10.1698,10.1724,-0.0026
62,Zr,surface_metal,10.1713,10.1724,-0.0011
63,Zr,surface_metal,10.2380,10.1724,0.0656
70,Zr,surface_metal,10.1720,10.1724,-0.0004
71,Zr,surface_metal,10.1679,10.1724,-0.0045
79,N,surface_N,6.7657,6.7718,-0.0061
80,N,surface_N,6.7683,6.7699,-0.0017
87,N,surface_N,6.7679,6.7647,0.0032
88,N,surface_N,6.7347,6.7648,-0.0301
95,N,surface_N,6.7626,6.7647,-0.0021
96,N,surface_N,6.7620,6.7700,-0.0080
103,N,surface_N,6.7814,6.7647,0.0166
104,N,surface_N,6.7802,6.7648,0.0155
111,N,surface_N,6.9265,6.7701,0.1564
112,N,surface_N,6.9247,6.7686,0.1561
119,N,surface_N,6.7307,6.7701,-0.0394
120,N,surface_N,6.7699,6.7648,0.0051
127,N,surface_N,6.7686,6.7647,0.0039
128,N,surface_N,6.7695,6.7683,0.0012
135,N,surface_N,6.7657,6.7701,-0.0044
136,N,surface_N,6.7726,6.7648,0.0078
143,N,surface_N,6.7696,6.7701,-0.0005
144,N,surface_N,6.7670,6.7683,-0.0012
145,S,adsorbate_S,7.4383,7.7645,-0.3263
146,Li,adsorbate_Li,2.1698,2.1176,0.0522
147,Li,adsorbate_Li,2.1688,2.1179,0.0510
