atom_index,element,region,q_combi,q_ref,delta_q
6,Zr,surface_metal,10.1484,10.1724,-0.0240
7,Zr,surface_metal,10.1394,10.1724,-0.0330
14,Zr,surface_metal,10.0234,10.1724,-0.1490
15,Zr,surface_metal,10.1307,10.1792,-0.0485
22,Zr,surface_metal,10.0405,10.1724,-0.1319
23,Zr,surface_metal,10.1678,10.1724,-0.0046
30,Zr,surface_metal,10.1247,10.1792,-0.0545
31,Zr,surface_metal,9.9720,10.1724,-0.2004
38,Zr,surface_metal,9.9876,10.1724,-0.1849
39,Zr,surface_metal,9.9378,10.1724,-0.2346
46,Zr,surface_metal,10.0256,10.1724,-0.1469
47,Zr,surface_metal,10.0527,10.1724,-0.1197
54,Zr,surface_metal,10.1585,10.1724,-0.0139
55,Zr,surface_metal,9.9836,10.1724,-0.1888
62,Zr,surface_metal,10.0815,10.1724,-0.0909
63,Zr,surface_metal,10.0115,10.1724,-0.1610
70,Zr,surface_metal,10.1627,10.1724,-0.0097
71,Zr,surface_metal,10.1398,10.1724,-0.0326
79,N,surface_N,6.7564,6.7718,-0.0154
80,N,surface_N,6.7302,6.7699,-0.0398
87,N,surface_N,6.7282,6.7647,-0.0365
88,N,surface_N,6.6900,6.7648,-0.0748
95,N,surface_N,6.7412,6.7647,-0.0235
96,N,surface_N,6.7295,6.7700,-0.0404
103,N,surface_N,6.7552,6.7647,-0.0095
104,N,surface_N,6.6872,6.7648,-0.0776
111,N,surface_N,6.6871,6.7701,-0.0829
112,N,surface_N,6.7174,6.7686,-0.0512
119,N,surface_N,6.6561,6.7701,-0.1139
120,N,surface_N,6.7413,6.7648,-0.0235
127,N,surface_N,6.7266,6.7647,-0.0381
128,N,surface_N,6.7278,6.7683,-0.0405
135,N,surface_N,6.6841,6.7701,-0.0859
136,N,surface_N,6.7119,6.7648,-0.0528
143,N,surface_N,6.7566,6.7701,-0.0135
144,N,surface_N,6.7735,6.7683,0.0052
145,S,adsorbate_S,6.1866,5.9975,0.1891
146,S,adsorbate_S,6.5261,6.0007,0.5254
147,S,adsorbate_S,6.6044,5.9989,0.6055
148,S,adsorbate_S,6.5795,6.0013,0.5781
149,S,adsorbate_S,6.5057,5.9959,0.5098
150,S,adsorbate_S,6.1653,6.0040,0.1613
151,S,adsorbate_S,6.4872,5.9963,0.4908
152,S,adsorbate_S,6.5277,6.0050,0.5227
