cp_no,cp_type,bond_type,atom1,atom2,x_bohr,y_bohr,z_bohr,x_ang,y_ang,z_ang,rho,laplacian,G_ked,V_ped,H_ted,abs_V_over_G
304,"(3,-1)",S-S,S,S,17.3047190573,9.6158069526,35.0516772204,9.157262966496187,5.088465903922013,18.548548789559373,0.1591081025,-0.1671187034,0.10628609418055407,-0.06450641833055407,0.04177967585,0.6069130569514902
305,"(3,-1)",S-S,S,S,8.4431112879,11.0840590321,36.0414360244,4.4679020828180915,5.865431444279314,19.072306592943605,0.1397178765,-0.1152601249,0.08880609313093457,-0.059991061905934576,0.028815031224999996,0.6755286691588214
313,"(3,-1)",V-N,V,N,1.9590955897,7.6892566421,30.590996076,1.0367087400831188,4.068979383914563,16.188057982762345,0.1029397289,0.4412130908,0.1384547842484708,-0.2487580569484708,-0.11030327270000001,1.7966736093571882
314,"(3,-1)",N-V,N,V,13.6343665959,15.5189473239,30.7439405978,7.214996087879177,8.2122732612758,16.268992738233962,0.1010023517,0.4512107647,0.13809750998245313,-0.25090020115745315,-0.11280269117500002,1.816833635808009
317,"(3,-1)",N-V,N,V,15.4840698552,21.1964136741,30.587246349,8.193816899665185,11.216659069566788,16.186073712686774,0.0989332754,0.4259725268,0.13175842481409647,-0.23825155651409646,-0.1064931317,1.8082453311828497
318,"(3,-1)",N-V,N,V,17.4211467902,15.5305518687,30.6156560591,9.218873869465948,8.21841412192706,16.201107483840538,0.09796049813,0.42735502,0.13099633767708382,-0.2378350926770838,-0.10683875499999998,1.8155858163253833
319,"(3,-1)",V-N,V,N,11.5726343249,1.8293310913,30.5111319506,6.123974355047639,0.968040324743374,16.145795707630608,0.09795124584,0.1919086267,0.09174586363065597,-0.13972302030565598,-0.04797715667500001,1.5229353648916868
320,"(3,-1)",V-N,V,N,7.6676692194,17.4940561456,30.4461533935,4.057555811779226,9.257455838806493,16.111410536014827,0.09738593805,0.2720613714,0.10453092719068165,-0.17254627004068163,-0.06801534284999998,1.6506719559267735
321,"(3,-1)",V-N,V,N,5.6564854174,7.6735304916,30.5211032394,2.993283176789384,4.060657463454465,16.15107228642707,0.09690092906,0.3427738345,0.11582587123388859,-0.2015193298588886,-0.08569345862500001,1.7398473045107354
322,"(3,-1)",V-N,V,N,17.4844099969,3.7784496796,30.6630829649,9.252351316741308,1.9994694630522958,16.226204721574348,0.09507000273,0.4114413169,0.1254336719679883,-0.22829400119298832,-0.10286032922500002,1.8200376151887734
