cp_no,cp_type,bond_type,atom1,atom2,x_bohr,y_bohr,z_bohr,x_ang,y_ang,z_ang,rho,laplacian,G_ked,V_ped,H_ted,abs_V_over_G
356,"(3,-1)",S-S,S,S,6.5119780287,8.3003263488,36.6085556962,3.4459903707997857,4.3923435469837715,19.372413399124596,0.1394771642,-0.1141093295,0.08868791207606104,-0.06016057970106104,0.028527332375,0.6783402415592531
357,"(3,-1)",S-S,S,S,18.6229418791,6.8415594417,36.7836769624,9.854836442707402,3.620397343702199,19.46508358234509,0.1382117446,-0.1247635372,0.08528851778859943,-0.05409763348859943,0.0311908843,0.6342897601138836
358,"(3,-1)",N-Zr,N,Zr,8.6168909394,17.2105045549,29.4576541661,4.55986231411351,9.10740679888794,15.588319271862717,0.116701844,0.3336336317,0.13562552636607772,-0.2190339342910777,-0.08340840792499998,1.6149904826902988
359,"(3,-1)",Zr-N,Zr,N,0.0051781701,4.3079252663,29.5593197745,0.0027401696111873375,2.2796558772724325,15.642118394962315,0.09310974213,0.3248457496,0.10906052822600121,-0.1902719656260012,-0.0812114374,1.744645553446332
360,"(3,-1)",Zr-N,Zr,N,4.3283511993,0.0037199863,29.563173146,2.290464815527811,0.0019685319748946103,15.644157511345323,0.09102304191,0.3305021986,0.10796727765152449,-0.1905928273015245,-0.08262554965,1.765283254771714
361,"(3,-1)",Zr-N,Zr,N,21.5763364446,0.000364959,29.5434269548,11.417705541624978,0.00019312798572015228,15.633708276959814,0.08848102933,0.3131928912,0.10264390102593404,-0.18094212382593405,-0.07829822280000001,1.7628141761702643
362,"(3,-1)",Zr-N,Zr,N,0.0121217361,21.5525212951,29.5503021536,0.006414546500906279,11.405103107234925,15.637346475485318,0.08819757527,0.3174510239,0.10308453797646376,-0.18244729395146375,-0.07936275597499999,1.76988030923823
363,"(3,-1)",N-Zr,N,Zr,13.0161371178,2.1836556431,31.6540127376,6.887843136949692,1.1555408028253769,16.750582174909322,0.07551520252,0.2973648801,0.08829780653485125,-0.16263902655985124,-0.07434122002499999,1.8419373361857796
364,"(3,-1)",N-Zr,N,Zr,15.104753785,4.2619129509,31.7980306366,7.993091479579614,2.255307208541089,16.8267931650247,0.07435834882,0.1675836803,0.06568361474908084,-0.10757953482408084,-0.041895920074999995,1.6378443122390165
365,"(3,-1)",N-Zr,N,Zr,4.2916718986,4.2932997995,29.7008227277,2.271054965484889,2.2719164135428054,15.716998533073633,0.07386633281,0.1919599235,0.06933089938468312,-0.11732088025968312,-0.047989980875000005,1.6921874849585776
