v_atom_index,slab_atom_index,d_band_center_eV
1,1,-0.021854
2,2,-0.378296
3,3,-0.378296
4,4,-0.021534
5,9,-0.395777
6,10,-0.094823
7,11,-0.094823
8,12,-0.39615
9,17,-0.021204
10,18,-0.377979
11,19,-0.379559
12,20,-0.021188
13,25,-0.39638
14,26,-0.094728
15,27,-0.094907
16,28,-0.396177
17,33,-0.021204
18,34,-0.377979
19,35,-0.378296
20,36,-0.021534
21,41,-0.39638
22,42,-0.094728
23,43,-0.094823
24,44,-0.39615
25,49,-0.021204
26,50,-0.379559
27,51,-0.377979
28,52,-0.021188
29,57,-0.39638
30,58,-0.094907
31,59,-0.094728
32,60,-0.396177
33,65,-0.021448
34,66,-0.378305
35,67,-0.378305
36,68,-0.021939
37,73,-0.395819
38,74,-0.094807
39,75,-0.094807
40,76,-0.395701
41,81,-0.021448
42,82,-0.378305
43,83,-0.377979
44,84,-0.021188
45,89,-0.395819
46,90,-0.094807
47,91,-0.094728
48,92,-0.396177
49,97,-0.021204
50,98,-0.378296
51,99,-0.377979
52,100,-0.021534
53,105,-0.39638
54,106,-0.094823
55,107,-0.094728
56,108,-0.39615
57,113,-0.021448
58,114,-0.377979
59,115,-0.378305
60,116,-0.021188
61,121,-0.395819
62,122,-0.094728
63,123,-0.094807
64,124,-0.396177
65,129,-0.021448
66,130,-0.377979
67,131,-0.377979
68,132,-0.021534
69,137,-0.395819
70,138,-0.094728
71,139,-0.094728
72,140,-0.39615
