atom_index,element,region,q_combi,q_ref,delta_q
6,Nb,surface_metal,11.2930,11.3387,-0.0457
7,Nb,surface_metal,11.2824,11.3387,-0.0564
14,Nb,surface_metal,11.2821,11.3387,-0.0566
15,Nb,surface_metal,11.2338,11.3388,-0.1050
22,Nb,surface_metal,11.2954,11.3387,-0.0433
23,Nb,surface_metal,11.2777,11.3387,-0.0610
30,Nb,surface_metal,11.2671,11.3388,-0.0716
31,Nb,surface_metal,11.2709,11.3387,-0.0678
38,Nb,surface_metal,11.2934,11.3387,-0.0454
39,Nb,surface_metal,11.1370,11.3387,-0.2017
46,Nb,surface_metal,11.3051,11.3387,-0.0337
47,Nb,surface_metal,11.2718,11.3387,-0.0669
54,Nb,surface_metal,11.2836,11.3387,-0.0552
55,Nb,surface_metal,11.2868,11.3387,-0.0520
62,Nb,surface_metal,11.2550,11.3387,-0.0837
63,Nb,surface_metal,11.2579,11.3387,-0.0809
70,Nb,surface_metal,11.2772,11.3387,-0.0615
71,Nb,surface_metal,11.2765,11.3387,-0.0622
79,N,surface_N,6.6152,6.5770,0.0381
80,N,surface_N,6.6069,6.5771,0.0298
87,N,surface_N,6.6023,6.5771,0.0252
88,N,surface_N,6.5768,6.5771,-0.0004
95,N,surface_N,6.5999,6.5771,0.0228
96,N,surface_N,6.6058,6.5771,0.0287
103,N,surface_N,6.6088,6.5771,0.0317
104,N,surface_N,6.5781,6.5771,0.0010
111,N,surface_N,6.5940,6.5771,0.0169
112,N,surface_N,6.6157,6.5771,0.0386
119,N,surface_N,6.5974,6.5771,0.0203
120,N,surface_N,6.6134,6.5771,0.0363
127,N,surface_N,6.6157,6.5771,0.0385
128,N,surface_N,6.6009,6.5771,0.0238
135,N,surface_N,6.4936,6.5771,-0.0835
136,N,surface_N,6.5924,6.5771,0.0153
143,N,surface_N,6.5998,6.5771,0.0227
144,N,surface_N,6.6082,6.5771,0.0312
145,S,adsorbate_S,6.6503,6.6724,-0.0221
146,S,adsorbate_S,7.0456,6.6747,0.3709
147,S,adsorbate_S,6.4144,6.0449,0.3695
148,S,adsorbate_S,5.9233,6.1671,-0.2438
149,S,adsorbate_S,6.3938,6.1726,0.2212
150,S,adsorbate_S,6.5645,6.0474,0.5170
151,Li,adsorbate_Li,2.1287,2.1106,0.0181
152,Li,adsorbate_Li,2.1417,2.1106,0.0311
