atom_index,element,region,q_combi,q_ref,delta_q
6,Nb,surface_metal,11.2978,11.3387,-0.0409
7,Nb,surface_metal,11.2948,11.3387,-0.0439
14,Nb,surface_metal,11.3474,11.3387,0.0086
15,Nb,surface_metal,11.2638,11.3388,-0.0749
22,Nb,surface_metal,11.2703,11.3387,-0.0684
23,Nb,surface_metal,11.2839,11.3387,-0.0548
30,Nb,surface_metal,11.2772,11.3388,-0.0616
31,Nb,surface_metal,11.3627,11.3387,0.0240
38,Nb,surface_metal,11.4062,11.3387,0.0675
39,Nb,surface_metal,11.2610,11.3387,-0.0778
46,Nb,surface_metal,11.3552,11.3387,0.0164
47,Nb,surface_metal,11.2586,11.3387,-0.0801
54,Nb,surface_metal,11.2868,11.3387,-0.0519
55,Nb,surface_metal,11.3065,11.3387,-0.0322
62,Nb,surface_metal,11.2773,11.3387,-0.0614
63,Nb,surface_metal,11.3580,11.3387,0.0193
70,Nb,surface_metal,11.2997,11.3387,-0.0391
71,Nb,surface_metal,11.2961,11.3387,-0.0427
79,N,surface_N,6.6207,6.5770,0.0436
80,N,surface_N,6.6302,6.5771,0.0531
87,N,surface_N,6.6053,6.5771,0.0282
88,N,surface_N,6.5765,6.5771,-0.0006
95,N,surface_N,6.6034,6.5771,0.0263
96,N,surface_N,6.6001,6.5771,0.0230
103,N,surface_N,6.6111,6.5771,0.0340
104,N,surface_N,6.6291,6.5771,0.0520
111,N,surface_N,6.7538,6.5771,0.1767
112,N,surface_N,6.7837,6.5771,0.2066
119,N,surface_N,6.5545,6.5771,-0.0226
120,N,surface_N,6.6066,6.5771,0.0294
127,N,surface_N,6.6052,6.5771,0.0281
128,N,surface_N,6.6073,6.5771,0.0302
135,N,surface_N,6.6261,6.5771,0.0490
136,N,surface_N,6.6137,6.5771,0.0365
143,N,surface_N,6.6258,6.5771,0.0487
144,N,surface_N,6.6185,6.5771,0.0414
145,S,adsorbate_S,7.3162,7.7645,-0.4484
146,Li,adsorbate_Li,2.1489,2.1176,0.0313
147,Li,adsorbate_Li,2.1484,2.1179,0.0305
