atom_index,element,region,q_combi,q_ref,delta_q
6,Sc,surface_metal,9.2314,9.2329,-0.0015
7,Sc,surface_metal,9.2323,9.2329,-0.0006
14,Sc,surface_metal,9.2432,9.2329,0.0103
15,Sc,surface_metal,9.2308,9.2328,-0.0021
22,Sc,surface_metal,9.2176,9.2329,-0.0152
23,Sc,surface_metal,9.2288,9.2329,-0.0040
30,Sc,surface_metal,9.2285,9.2328,-0.0044
31,Sc,surface_metal,9.2527,9.2329,0.0198
38,Sc,surface_metal,9.2612,9.2329,0.0284
39,Sc,surface_metal,9.2669,9.2329,0.0340
46,Sc,surface_metal,9.2521,9.2329,0.0193
47,Sc,surface_metal,9.2264,9.2329,-0.0065
54,Sc,surface_metal,9.2306,9.2329,-0.0023
55,Sc,surface_metal,9.2311,9.2329,-0.0018
62,Sc,surface_metal,9.2304,9.2329,-0.0024
63,Sc,surface_metal,9.2407,9.2329,0.0078
70,Sc,surface_metal,9.2272,9.2329,-0.0057
71,Sc,surface_metal,9.2283,9.2329,-0.0045
79,N,surface_N,6.7820,6.7796,0.0024
80,N,surface_N,6.7816,6.7840,-0.0025
87,N,surface_N,6.7756,6.7825,-0.0069
88,N,surface_N,6.7306,6.7825,-0.0519
95,N,surface_N,6.7846,6.7825,0.0022
96,N,surface_N,6.7752,6.7840,-0.0088
103,N,surface_N,6.7740,6.7825,-0.0085
104,N,surface_N,6.7390,6.7825,-0.0435
111,N,surface_N,6.8842,6.7825,0.1017
112,N,surface_N,6.8098,6.7825,0.0273
119,N,surface_N,6.7180,6.7825,-0.0645
120,N,surface_N,6.7626,6.7825,-0.0199
127,N,surface_N,6.7838,6.7825,0.0013
128,N,surface_N,6.7719,6.7825,-0.0106
135,N,surface_N,6.6941,6.7825,-0.0884
136,N,surface_N,6.7536,6.7825,-0.0289
143,N,surface_N,6.7418,6.7825,-0.0407
144,N,surface_N,6.7839,6.7825,0.0013
145,S,adsorbate_S,6.6799,6.6724,0.0075
146,S,adsorbate_S,6.6941,6.6747,0.0193
147,S,adsorbate_S,6.0226,6.0449,-0.0223
148,S,adsorbate_S,6.1829,6.1671,0.0158
149,S,adsorbate_S,6.0881,6.1726,-0.0845
150,S,adsorbate_S,6.1388,6.0474,0.0914
151,Li,adsorbate_Li,2.1358,2.1106,0.0252
152,Li,adsorbate_Li,2.1489,2.1106,0.0382
