atom_index,element,region,q_combi,q_ref,delta_q
6,Sc,surface_metal,9.2291,9.2329,-0.0037
7,Sc,surface_metal,9.2309,9.2329,-0.0020
14,Sc,surface_metal,9.2550,9.2329,0.0221
15,Sc,surface_metal,9.2285,9.2328,-0.0043
22,Sc,surface_metal,9.2172,9.2329,-0.0157
23,Sc,surface_metal,9.2290,9.2329,-0.0038
30,Sc,surface_metal,9.2257,9.2328,-0.0072
31,Sc,surface_metal,9.2726,9.2329,0.0398
38,Sc,surface_metal,9.2832,9.2329,0.0504
39,Sc,surface_metal,9.2214,9.2329,-0.0115
46,Sc,surface_metal,9.2596,9.2329,0.0267
47,Sc,surface_metal,9.2296,9.2329,-0.0032
54,Sc,surface_metal,9.2291,9.2329,-0.0038
55,Sc,surface_metal,9.2375,9.2329,0.0047
62,Sc,surface_metal,9.2271,9.2329,-0.0058
63,Sc,surface_metal,9.2855,9.2329,0.0526
70,Sc,surface_metal,9.2278,9.2329,-0.0051
71,Sc,surface_metal,9.2365,9.2329,0.0036
79,N,surface_N,6.7780,6.7796,-0.0016
80,N,surface_N,6.7838,6.7840,-0.0002
87,N,surface_N,6.7631,6.7825,-0.0194
88,N,surface_N,6.7461,6.7825,-0.0365
95,N,surface_N,6.7826,6.7825,0.0001
96,N,surface_N,6.7743,6.7840,-0.0097
103,N,surface_N,6.7696,6.7825,-0.0129
104,N,surface_N,6.7696,6.7825,-0.0129
111,N,surface_N,6.8692,6.7825,0.0867
112,N,surface_N,6.8668,6.7825,0.0842
119,N,surface_N,6.7417,6.7825,-0.0407
120,N,surface_N,6.7627,6.7825,-0.0198
127,N,surface_N,6.7842,6.7825,0.0017
128,N,surface_N,6.7715,6.7825,-0.0111
135,N,surface_N,6.7671,6.7825,-0.0154
136,N,surface_N,6.7662,6.7825,-0.0164
143,N,surface_N,6.7737,6.7825,-0.0088
144,N,surface_N,6.7738,6.7825,-0.0087
145,S,adsorbate_S,7.6494,7.7645,-0.1152
146,Li,adsorbate_Li,2.1495,2.1176,0.0319
147,Li,adsorbate_Li,2.1493,2.1179,0.0314
