atom_index,element,region,q_combi,q_ref,delta_q
6,Ti,surface_metal,10.2710,10.2635,0.0075
7,Ti,surface_metal,10.2685,10.2635,0.0050
14,Ti,surface_metal,10.2957,10.2635,0.0322
15,Ti,surface_metal,10.2454,10.2635,-0.0181
22,Ti,surface_metal,10.2706,10.2635,0.0071
23,Ti,surface_metal,10.2686,10.2635,0.0051
30,Ti,surface_metal,10.2471,10.2635,-0.0164
31,Ti,surface_metal,10.2829,10.2635,0.0194
38,Ti,surface_metal,10.2850,10.2635,0.0215
39,Ti,surface_metal,10.3156,10.2635,0.0521
46,Ti,surface_metal,10.2609,10.2635,-0.0026
47,Ti,surface_metal,10.2445,10.2635,-0.0191
54,Ti,surface_metal,10.2406,10.2635,-0.0228
55,Ti,surface_metal,10.2308,10.2635,-0.0328
62,Ti,surface_metal,10.2509,10.2635,-0.0126
63,Ti,surface_metal,10.2709,10.2635,0.0074
70,Ti,surface_metal,10.2383,10.2635,-0.0252
71,Ti,surface_metal,10.2522,10.2635,-0.0113
79,N,surface_N,6.6550,6.6635,-0.0084
80,N,surface_N,6.6623,6.6617,0.0006
87,N,surface_N,6.6477,6.6652,-0.0175
88,N,surface_N,6.5529,6.6635,-0.1106
95,N,surface_N,6.6487,6.6652,-0.0165
96,N,surface_N,6.6263,6.6618,-0.0354
103,N,surface_N,6.6263,6.6669,-0.0406
104,N,surface_N,6.6116,6.6635,-0.0519
111,N,surface_N,6.7496,6.6635,0.0861
112,N,surface_N,6.6699,6.6636,0.0063
119,N,surface_N,6.5608,6.6635,-0.1027
120,N,surface_N,6.5817,6.6635,-0.0817
127,N,surface_N,6.5894,6.6635,-0.0741
128,N,surface_N,6.6366,6.6618,-0.0251
135,N,surface_N,6.5481,6.6635,-0.1154
136,N,surface_N,6.6179,6.6635,-0.0455
143,N,surface_N,6.6000,6.6635,-0.0635
144,N,surface_N,6.6108,6.6617,-0.0509
145,S,adsorbate_S,6.7055,6.6724,0.0331
146,S,adsorbate_S,6.6533,6.6747,-0.0215
147,S,adsorbate_S,6.2260,6.0449,0.1811
148,S,adsorbate_S,6.5138,6.1671,0.3467
149,S,adsorbate_S,6.7831,6.1726,0.6105
150,S,adsorbate_S,6.5809,6.0474,0.5335
151,Li,adsorbate_Li,2.1254,2.1106,0.0148
152,Li,adsorbate_Li,2.1435,2.1106,0.0329
