atom_index,element,region,q_combi,q_ref,delta_q
6,Ti,surface_metal,10.2538,10.2635,-0.0097
7,Ti,surface_metal,10.2436,10.2635,-0.0199
14,Ti,surface_metal,10.2629,10.2635,-0.0007
15,Ti,surface_metal,10.2541,10.2635,-0.0094
22,Ti,surface_metal,10.2572,10.2635,-0.0063
23,Ti,surface_metal,10.2553,10.2635,-0.0082
30,Ti,surface_metal,10.2554,10.2635,-0.0081
31,Ti,surface_metal,10.2451,10.2635,-0.0184
38,Ti,surface_metal,10.2214,10.2635,-0.0422
39,Ti,surface_metal,10.2828,10.2635,0.0193
46,Ti,surface_metal,10.2469,10.2635,-0.0166
47,Ti,surface_metal,10.2446,10.2635,-0.0189
54,Ti,surface_metal,10.2455,10.2635,-0.0180
55,Ti,surface_metal,10.2192,10.2635,-0.0443
62,Ti,surface_metal,10.2422,10.2635,-0.0214
63,Ti,surface_metal,10.2285,10.2635,-0.0350
70,Ti,surface_metal,10.2405,10.2635,-0.0230
71,Ti,surface_metal,10.2420,10.2635,-0.0215
79,N,surface_N,6.6440,6.6635,-0.0194
80,N,surface_N,6.6172,6.6617,-0.0445
87,N,surface_N,6.6131,6.6652,-0.0521
88,N,surface_N,6.6193,6.6635,-0.0442
95,N,surface_N,6.6593,6.6652,-0.0059
96,N,surface_N,6.6512,6.6618,-0.0106
103,N,surface_N,6.6350,6.6669,-0.0319
104,N,surface_N,6.5929,6.6635,-0.0706
111,N,surface_N,6.5660,6.6635,-0.0975
112,N,surface_N,6.5567,6.6636,-0.1068
119,N,surface_N,6.5568,6.6635,-0.1067
120,N,surface_N,6.6269,6.6635,-0.0366
127,N,surface_N,6.6369,6.6635,-0.0266
128,N,surface_N,6.5827,6.6618,-0.0790
135,N,surface_N,6.5398,6.6635,-0.1237
136,N,surface_N,6.5993,6.6635,-0.0641
143,N,surface_N,6.6096,6.6635,-0.0539
144,N,surface_N,6.6561,6.6617,-0.0056
145,S,adsorbate_S,6.1596,5.9975,0.1621
146,S,adsorbate_S,6.4325,6.0007,0.4318
147,S,adsorbate_S,6.4239,5.9989,0.4249
148,S,adsorbate_S,6.1807,6.0013,0.1794
149,S,adsorbate_S,6.0598,5.9959,0.0638
150,S,adsorbate_S,6.1113,6.0040,0.1073
151,S,adsorbate_S,6.4234,5.9963,0.4271
152,S,adsorbate_S,6.4648,6.0050,0.4598
