atom_index,element,region,q_combi,q_ref,delta_q
6,V,surface_metal,11.4761,11.4543,0.0218
7,V,surface_metal,11.4620,11.4543,0.0076
14,V,surface_metal,11.4909,11.4543,0.0366
15,V,surface_metal,11.4299,11.4541,-0.0242
22,V,surface_metal,11.4849,11.4543,0.0306
23,V,surface_metal,11.4408,11.4543,-0.0136
30,V,surface_metal,11.4144,11.4541,-0.0397
31,V,surface_metal,11.4695,11.4543,0.0153
38,V,surface_metal,11.4959,11.4543,0.0416
39,V,surface_metal,11.4870,11.4543,0.0327
46,V,surface_metal,11.4692,11.4543,0.0149
47,V,surface_metal,11.4214,11.4543,-0.0329
54,V,surface_metal,11.4408,11.4543,-0.0136
55,V,surface_metal,11.4816,11.4543,0.0274
62,V,surface_metal,11.4302,11.4543,-0.0241
63,V,surface_metal,11.4920,11.4543,0.0377
70,V,surface_metal,11.4685,11.4543,0.0142
71,V,surface_metal,11.4687,11.4543,0.0144
79,N,surface_N,6.4968,6.4948,0.0020
80,N,surface_N,6.5330,6.4943,0.0386
87,N,surface_N,6.4755,6.4945,-0.0190
88,N,surface_N,6.4998,6.4946,0.0052
95,N,surface_N,6.4860,6.4945,-0.0085
96,N,surface_N,6.4594,6.4943,-0.0349
103,N,surface_N,6.4890,6.4945,-0.0055
104,N,surface_N,6.4599,6.4946,-0.0347
111,N,surface_N,6.5906,6.4944,0.0962
112,N,surface_N,6.5817,6.4947,0.0870
119,N,surface_N,6.4490,6.4944,-0.0454
120,N,surface_N,6.4967,6.4946,0.0020
127,N,surface_N,6.4688,6.4945,-0.0256
128,N,surface_N,6.4845,6.4943,-0.0098
135,N,surface_N,6.4965,6.4944,0.0022
136,N,surface_N,6.4760,6.4946,-0.0186
143,N,surface_N,6.5349,6.4944,0.0405
144,N,surface_N,6.4926,6.4943,-0.0018
145,S,adsorbate_S,6.5461,6.7083,-0.1622
146,S,adsorbate_S,6.5551,6.7049,-0.1498
147,S,adsorbate_S,6.1838,6.1760,0.0078
148,S,adsorbate_S,6.2072,6.1747,0.0325
149,Li,adsorbate_Li,2.1323,2.1178,0.0145
150,Li,adsorbate_Li,2.1331,2.1181,0.0150
