atom_index,element,region,q_combi,q_ref,delta_q
6,V,surface_metal,11.4543,11.4543,-0.0000
7,V,surface_metal,11.4462,11.4543,-0.0082
14,V,surface_metal,11.4215,11.4543,-0.0328
15,V,surface_metal,11.4397,11.4541,-0.0145
22,V,surface_metal,11.4709,11.4543,0.0166
23,V,surface_metal,11.4487,11.4543,-0.0056
30,V,surface_metal,11.4279,11.4541,-0.0262
31,V,surface_metal,11.4852,11.4543,0.0310
38,V,surface_metal,11.4812,11.4543,0.0268
39,V,surface_metal,11.4411,11.4543,-0.0132
46,V,surface_metal,11.4785,11.4543,0.0242
47,V,surface_metal,11.4105,11.4543,-0.0438
54,V,surface_metal,11.4653,11.4543,0.0110
55,V,surface_metal,11.4807,11.4543,0.0264
62,V,surface_metal,11.4820,11.4543,0.0277
63,V,surface_metal,11.4688,11.4543,0.0145
70,V,surface_metal,11.4226,11.4543,-0.0317
71,V,surface_metal,11.4698,11.4543,0.0156
79,N,surface_N,6.4798,6.4948,-0.0150
80,N,surface_N,6.5036,6.4943,0.0093
87,N,surface_N,6.4928,6.4945,-0.0017
88,N,surface_N,6.4841,6.4946,-0.0106
95,N,surface_N,6.4871,6.4945,-0.0074
96,N,surface_N,6.4982,6.4943,0.0038
103,N,surface_N,6.4920,6.4945,-0.0025
104,N,surface_N,6.4815,6.4946,-0.0131
111,N,surface_N,6.4814,6.4944,-0.0130
112,N,surface_N,6.3845,6.4947,-0.1102
119,N,surface_N,6.4497,6.4944,-0.0446
120,N,surface_N,6.4595,6.4946,-0.0352
127,N,surface_N,6.4724,6.4945,-0.0221
128,N,surface_N,6.4400,6.4943,-0.0544
135,N,surface_N,6.3560,6.4944,-0.1384
136,N,surface_N,6.4534,6.4946,-0.0413
143,N,surface_N,6.4634,6.4944,-0.0310
144,N,surface_N,6.4877,6.4943,-0.0066
145,S,adsorbate_S,6.1789,5.9975,0.1814
146,S,adsorbate_S,6.2484,6.0007,0.2477
147,S,adsorbate_S,6.3372,5.9989,0.3383
148,S,adsorbate_S,6.0791,6.0013,0.0778
149,S,adsorbate_S,6.0373,5.9959,0.0413
150,S,adsorbate_S,6.1017,6.0040,0.0977
151,S,adsorbate_S,6.0082,5.9963,0.0119
152,S,adsorbate_S,6.1367,6.0050,0.1317
