atom_index,element,region,q_combi,q_slab,q_ads,delta_q
10,V,surface_metal,11.4425,11.4856,0.0000,-0.0431
11,V,surface_metal,11.4778,11.4856,0.0000,-0.0078
15,V,surface_metal,6.5028,6.5136,0.0000,-0.0108
16,V,surface_metal,6.5222,6.5123,0.0000,0.0099
26,V,surface_metal,11.4476,11.4870,0.0000,-0.0394
27,V,surface_metal,11.4061,11.4855,0.0000,-0.0794
31,V,surface_metal,6.5155,6.5076,0.0000,0.0079
32,V,surface_metal,6.4994,6.5077,0.0000,-0.0083
42,V,surface_metal,11.4469,11.4870,0.0000,-0.0401
43,V,surface_metal,11.4471,11.4856,0.0000,-0.0385
47,V,surface_metal,6.5485,6.5076,0.0000,0.0409
48,V,surface_metal,6.5207,6.5123,0.0000,0.0084
58,V,surface_metal,11.4423,11.4855,0.0000,-0.0432
59,V,surface_metal,11.4693,11.4870,0.0000,-0.0177
63,V,surface_metal,6.5011,6.5076,0.0000,-0.0065
64,V,surface_metal,6.5129,6.5077,0.0000,0.0052
74,N,surface_N,11.4529,11.4855,0.0000,-0.0326
75,N,surface_N,11.4500,11.4855,0.0000,-0.0355
79,N,surface_N,6.6144,6.5107,0.0000,0.1037
80,N,surface_N,6.5464,6.5137,0.0000,0.0327
90,N,surface_N,11.4303,11.4855,0.0000,-0.0552
91,N,surface_N,11.4175,11.4870,0.0000,-0.0695
95,N,surface_N,6.5461,6.5107,0.0000,0.0354
96,N,surface_N,6.5284,6.5077,0.0000,0.0208
106,N,surface_N,11.4258,11.4856,0.0000,-0.0598
107,N,surface_N,11.4365,11.4870,0.0000,-0.0506
111,N,surface_N,6.5389,6.5076,0.0000,0.0313
112,N,surface_N,6.5059,6.5107,0.0000,-0.0048
122,N,surface_N,11.4283,11.4870,0.0000,-0.0588
123,N,surface_N,11.4179,11.4855,0.0000,-0.0676
127,N,surface_N,6.5035,6.5123,0.0000,-0.0088
128,N,surface_N,6.5121,6.5077,0.0000,0.0044
138,N,surface_N,11.4537,11.4870,0.0000,-0.0334
139,N,surface_N,11.4146,11.4870,0.0000,-0.0724
143,N,surface_N,6.5363,6.5123,0.0000,0.0240
144,N,surface_N,6.5289,6.5107,0.0000,0.0182
145,S,adsorbate_S,6.6909,0.0000,6.6193,0.0716
146,S,adsorbate_S,6.6764,0.0000,6.7392,-0.0628
147,S,adsorbate_S,6.1524,0.0000,6.0266,0.1258
148,S,adsorbate_S,6.0725,0.0000,6.0137,0.0588
149,S,adsorbate_S,6.0492,0.0000,6.0512,-0.0020
150,S,adsorbate_S,6.0816,0.0000,6.1485,-0.0669
151,S,adsorbate_S,6.5679,0.0000,6.0093,0.5586
152,S,adsorbate_S,6.6100,0.0000,6.1552,0.4548
153,Li,adsorbate_Li,2.1416,0.0000,2.1199,0.0217
154,Li,adsorbate_Li,2.1210,0.0000,2.1173,0.0036
