atom_index,element,region,q_combi,q_ref,delta_q
6,Zr,surface_metal,10.1295,10.1724,-0.0429
7,Zr,surface_metal,10.1268,10.1724,-0.0456
14,Zr,surface_metal,10.0019,10.1724,-0.1705
15,Zr,surface_metal,10.1279,10.1792,-0.0514
22,Zr,surface_metal,10.1312,10.1724,-0.0412
23,Zr,surface_metal,10.1673,10.1724,-0.0051
30,Zr,surface_metal,10.1194,10.1792,-0.0598
31,Zr,surface_metal,9.9378,10.1724,-0.2346
38,Zr,surface_metal,9.9516,10.1724,-0.2208
39,Zr,surface_metal,9.9862,10.1724,-0.1862
46,Zr,surface_metal,10.0420,10.1724,-0.1304
47,Zr,surface_metal,10.1318,10.1724,-0.0406
54,Zr,surface_metal,10.1699,10.1724,-0.0025
55,Zr,surface_metal,10.0846,10.1724,-0.0878
62,Zr,surface_metal,10.1474,10.1724,-0.0250
63,Zr,surface_metal,9.9710,10.1724,-0.2014
70,Zr,surface_metal,10.1405,10.1724,-0.0319
71,Zr,surface_metal,10.1323,10.1724,-0.0401
79,N,surface_N,6.7526,6.7718,-0.0192
80,N,surface_N,6.6568,6.7699,-0.1132
87,N,surface_N,6.7283,6.7647,-0.0365
88,N,surface_N,6.6998,6.7648,-0.0649
95,N,surface_N,6.7568,6.7647,-0.0079
96,N,surface_N,6.7562,6.7700,-0.0138
103,N,surface_N,6.7634,6.7647,-0.0014
104,N,surface_N,6.6618,6.7648,-0.1030
111,N,surface_N,6.7134,6.7701,-0.0567
112,N,surface_N,6.7022,6.7686,-0.0663
119,N,surface_N,6.7033,6.7701,-0.0668
120,N,surface_N,6.7463,6.7648,-0.0185
127,N,surface_N,6.7562,6.7647,-0.0085
128,N,surface_N,6.7557,6.7683,-0.0126
135,N,surface_N,6.7206,6.7701,-0.0494
136,N,surface_N,6.7666,6.7648,0.0018
143,N,surface_N,6.6985,6.7701,-0.0716
144,N,surface_N,6.7502,6.7683,-0.0181
145,S,adsorbate_S,7.2236,6.6190,0.6045
146,S,adsorbate_S,7.1043,6.7392,0.3651
147,S,adsorbate_S,6.5925,6.0267,0.5659
148,S,adsorbate_S,6.6522,6.0131,0.6392
149,S,adsorbate_S,6.6213,6.0514,0.5699
150,S,adsorbate_S,6.0687,6.1490,-0.0802
151,S,adsorbate_S,6.1538,6.0095,0.1443
152,S,adsorbate_S,6.6891,6.1552,0.5339
153,Li,adsorbate_Li,2.1326,2.1199,0.0127
154,Li,adsorbate_Li,2.1248,2.1173,0.0075
