cp_no,cp_type,x_bohr,y_bohr,z_bohr,x_ang,y_ang,z_ang,rho,laplacian,G_ked,V_ped,H_ted,abs_V_over_G
333,"(3,-1)",11.7010351852,7.5514038915,36.545601148,6.191921164180922,3.9960308498344044,19.339099286893394,0.1374397548,-0.1149892786,0.08593185122079615,-0.05718453157079615,0.02874731965,0.6654637454960014
334,"(3,-1)",7.7515929822,11.5856104935,36.6043784291,4.101966354507641,6.1308410477558155,19.370202884571352,0.1361212473,-0.1176070311,0.08382055572771027,-0.05441879795271028,0.029401757774999995,0.6492297441869613
341,"(3,-1)",11.6510640021,17.4784018103,30.5784530776,6.165477552881692,9.249171921313634,16.18142051385246,0.1059540442,0.4375422942,0.14104212299386143,-0.25042769654386143,-0.10938557355,1.775552517418933
342,"(3,-1)",17.4344887459,7.6791325484,30.5481186487,9.225934128371492,4.063621944247304,16.16536822537231,0.1029724635,0.43971111,0.13823886472901786,-0.24816664222901785,-0.10992777749999999,1.7952016801894708
343,"(3,-1)",7.6961375449,21.2146968823,30.5635723366,4.072620600866879,11.226334126688734,16.173545964833657,0.09895508155,0.4035598859,0.12804530786651816,-0.22893527934151817,-0.100889971475,1.7879240024958474
344,"(3,-1)",11.6158149442,21.2432216321,30.5636227295,6.146824554734612,11.241428774230089,16.17357263160793,0.09862365375,0.3800041794,0.12378042442744251,-0.21878146927744252,-0.09500104485000001,1.7674965188513119
346,"(3,-1)",7.6099033072,13.6028604411,30.6090114807,4.02698740747498,7.1983237487553,16.197591324375086,0.09509656601,0.4051511943,0.12441179924843952,-0.2256995978234395,-0.10128779857499999,1.8141333795256596
347,"(3,-1)",23.1598962221,13.57162094,30.551615555,12.255689288007522,7.18179251669267,16.16721870849499,0.09500965053,0.1056083501,0.0744013638030206,-0.1008034513280206,-0.026402087524999993,1.35486026297717
360,"(3,-1)",21.1507918421,7.6519115576,30.5220888559,11.192517035751967,4.049217216257281,16.151593852217577,0.0938030953,0.1135141437,0.07452189331819864,-0.10290042924319864,-0.028378535925000004,1.3808080372277634
361,"(3,-1)",0.0143775534,1.8788421593,30.5526335264,0.007608273608065363,0.9942404536172844,16.16775739576124,0.09337476789,0.1424400303,0.07892035878727138,-0.11453036636227137,-0.03561000757499999,1.4512144663582462
363,"(3,-1)",13.5122569213,23.1195057135,30.5150211247,7.150378430848001,12.234315551318936,16.14785376993363,0.09226344185,0.3319885461,0.10942155216890129,-0.19241868869390127,-0.08299713652499999,1.758508126414502
375,"(3,-1)",11.5946846809,1.8051939882,30.4847399351,6.135642900935513,0.9552675198452275,16.13182965447776,0.09134195634,0.2827890426,0.10032425624751934,-0.17102151689751932,-0.07069726064999998,1.70468761288971
378,"(3,-1)",15.477169772,17.360453874,30.5736399852,8.190165532882293,9.18675656134863,16.178873535040328,0.09104339246,0.3036440197,0.10351062178435785,-0.17942162670935785,-0.075911004925,1.7333643989033731
379,"(3,-1)",1.9383835773,23.1610312984,30.5534222201,1.0257484151287464,12.256289944518139,16.168174754493673,0.09064784703,0.3385390511,0.10894394433192545,-0.19357870710692543,-0.08463476277499998,1.7768652337126571
380,"(3,-1)",17.3620102381,19.28702137,30.5527441648,9.187580153762244,10.20625217553104,16.16781594308117,0.09058660765,0.3461189251,0.11014813382343355,-0.19667786509843355,-0.086529731275,1.7855760081573997
381,"(3,-1)",17.4042318987,15.4691863101,30.5795410236,9.209922894358963,8.185940866780564,16.181996230082373,0.09049665695,0.3712212017,0.11424505304498067,-0.20705035346998069,-0.09280530042500001,1.8123353961633737
382,"(3,-1)",23.1544512739,21.1847665481,30.5598219911,12.252807945505443,11.210495675914874,16.17156136746198,0.09044388674,0.3843567548,0.11638342060934137,-0.21247260930934136,-0.0960891887,1.8256260917312093
383,"(3,-1)",7.7186277319,17.4758609665,30.4990048789,4.084521895296608,9.247827364678166,16.139378337651774,0.08975643044,0.182313425,0.08204836317622831,-0.1276267194262283,-0.04557835624999999,1.555505978249732
414,"(3,-1)",21.2173908215,23.1386217091,30.555637557,11.227759697920979,12.244431300554503,16.169347060295664,0.08873466323,0.3569162882,0.11017236834443751,-0.19940144039443752,-0.08922907205000001,1.8099042744641614
415,"(3,-1)",1.9229383273,15.4635596285,30.5441194596,1.0175751408117841,8.182963355104743,16.16325194563843,0.08820122462,0.3082497532,0.1015544531294359,-0.17861689142943588,-0.07706243829999998,1.7588287458136405
466,"(3,-1)",21.1787372962,15.5129634657,30.542087194,11.207305133210498,8.209106739882984,16.16217651699637,0.08621003367,0.3733151832,0.11052488601459612,-0.20385368181459612,-0.0933287958,1.8444143139643214
468,"(3,-1)",15.4954224191,1.95740838,30.5037484669,8.199824417766578,1.0358159071598356,16.141888536319367,0.08532558985,0.3501363195,0.1058386089980057,-0.1933726888730057,-0.087534079875,1.8270524405384938
470,"(3,-1)",13.5724644269,19.2874171975,30.5525390019,7.182238870737859,10.206461638423495,16.167707375549963,0.08375914825,0.363390773,0.10660375357934936,-0.19745144682934934,-0.09084769324999999,1.8521997603243725
481,"(3,-1)",15.5397202983,5.77402065,30.5241708866,8.223265845931305,3.0554801433614855,16.15269561541645,0.08178061173,0.3471098672,0.10209205823303213,-0.18886952503303212,-0.08677746679999998,1.8499923334087796
498,"(3,-1)",15.4750948579,21.1539043265,30.5086987474,8.189067535625956,11.194164091565792,16.14450811194763,0.08063182976,0.1166089517,0.06264434577899383,-0.09179658370399384,-0.029152237925000005,1.4653610403698312
502,"(3,-1)",9.6135216784,19.3548991719,30.5646358312,5.087256588894669,10.242171561423861,16.174108741939914,0.07984175663,0.3326396817,0.09794612534354902,-0.18110604576854902,-0.083159920425,1.8490373675662417
503,"(3,-1)",5.7392524316,15.4593348507,30.4848304343,3.037081594519916,8.180727698971781,16.131877544592008,0.07937370857,0.3601591835,0.10211822175037297,-0.19215801762537296,-0.090039795875,1.8817211495819173
504,"(3,-1)",15.6373472339,9.7480321815,30.5130365903,8.27492779542278,5.158436481764573,16.14680359955486,0.07912700411,0.184257808,0.07258350715693736,-0.11864795915693735,-0.04606445199999999,1.634640757994804
505,"(3,-1)",19.3344930611,13.5920116617,30.5238967862,10.231373112624993,7.192582821930522,16.152550567731268,0.07871318753,0.1080316955,0.059514806687412866,-0.08652273056241286,-0.027007923874999992,1.4538017575500595
506,"(3,-1)",9.6991653564,23.0989097451,30.5582596292,5.13257727155164,12.223416634204826,16.170734601149288,0.07851248887,0.332431277,0.09673848897624009,-0.1798463082262401,-0.08310781925,1.8590977606690973
508,"(3,-1)",13.5768419425,3.8204035101,30.4682616106,7.184555352233826,2.021670474063696,16.123109700678217,0.07811550776,0.3665233499,0.10207276751207095,-0.19370360498707095,-0.091630837475,1.8977011176283027
517,"(3,-1)",9.5325859324,3.6992882786,30.4855790863,5.04442723656266,1.957579053658596,16.132273714169315,0.0747448937,0.2337032473,0.07703120141764762,-0.1354570132426476,-0.05842581182499999,1.75846943510886
518,"(3,-1)",19.3346286101,9.5474911462,30.5156811876,10.231444842066756,5.05231473602951,16.14820306017808,0.0733978721,0.192639277,0.06905030129821824,-0.11721012054821824,-0.04815981925,1.6974599436142173
519,"(3,-1)",23.1391465953,9.7421547134,30.5117947315,12.24470905836987,5.155326259588144,16.14614643617872,0.07319478379,0.1456227344,0.06104399878539496,-0.09744968238539496,-0.0364056836,1.5963843182683213
521,"(3,-1)",7.5770856813,9.7582659469,30.6118441854,4.009621067732202,5.163851957196155,16.19909032714759,0.07191683329,0.1983608973,0.0687698478721129,-0.1183600721971129,-0.049590224325,1.7211041736957151
524,"(3,-1)",11.7414541624,9.5076079549,30.6065701359,6.213309965803857,5.031209460094787,16.19629942034293,0.07038157764,0.2683813811,0.07917846059842959,-0.14627380587342959,-0.067095345275,1.8473939095038525
525,"(3,-1)",5.6016638524,7.6733253892,30.4858263307,2.9642728539244145,4.06054892793848,16.132404550271325,0.07021299557,0.3165642443,0.08707152693405815,-0.16621258800905814,-0.07914106107499999,1.908920101228222
526,"(3,-1)",13.7128625444,11.6233782494,30.4862575812,7.256534354974927,6.150826883485684,16.13263275820812,0.06968287546,0.3206790308,0.0873266579566666,-0.1674964156566666,-0.0801697577,1.9180444961008583
527,"(3,-1)",11.6609861509,13.6699341314,30.5155679017,6.170728127910008,7.233817617114365,16.148143111861483,0.06835917622,0.2660062953,0.07714869348398214,-0.14365026730898212,-0.06650157382499998,1.861992223352522
528,"(3,-1)",9.4783240488,11.6528272629,30.6064568721,5.015713084339946,6.16641063031396,16.196239483721147,0.05836445265,0.251693976,0.06716343344491135,-0.13008692744491135,-0.062923494,1.9368713118517231
529,"(3,-1)",9.8396631859,7.6167215209,30.604479733,5.206925521106763,4.030595450784203,16.19519322676661,0.05734015336,0.25098057,0.06631133087936253,-0.12905647337936255,-0.06274514250000002,1.9462205277428328
532,"(3,-1)",11.7943945422,7.0598164821,32.5823346029,6.241324808331466,3.735893995604724,17.24182895042483,0.04855205453,0.1063485033,0.03627777037049425,-0.06286489619549425,-0.026587125825000002,1.7328765123510477
533,"(3,-1)",7.5644329057,12.151367807,32.6094528653,4.002925507229798,6.430226924971337,17.25617931688666,0.04667017682,0.06164946146,0.02764495744609636,-0.04305732281109636,-0.015412365365,1.5575109093603008
534,"(3,-1)",10.4001316324,12.0133309283,34.6162516481,5.503512650434299,6.357180954496769,18.318131499646412,0.0235047869,0.1372950165,0.028420198845709586,-0.06274395297070959,-0.034323754125,2.2077239259070716
535,"(3,-1)",8.9890185044,7.2088437159,34.5889659887,4.756783741066663,3.814755811538131,18.303692550507005,0.02252456944,0.05618427756,0.014522221411745775,-0.028568290801745777,-0.014046069390000002,1.9672121772389
536,"(3,-1)",7.6476238858,8.5037725746,35.6300328544,4.046948278052817,4.500002653324816,18.854601410879358,0.02090395044,0.07703368864,0.017393537180001157,-0.03665195934000116,-0.01925842216,2.107217120974281
545,"(3,-1)",1.8159661195,13.7663930974,35.7653666611,0.9609678862422255,7.284861503710473,18.926216977252054,0.0001748699638,-0.002815998533,-0.0004677629889246072,0.0011717626221746072,0.00070399963325,-2.5050349213572964
546,"(3,-1)",14.9067238256,18.4240762965,35.5936661609,7.888298537985721,9.749601308359154,18.835356985442647,0.0001649914136,-0.000517809872,-8.487657107965587e-05,0.00021432903907965588,0.000129452468,-2.525184940358984
548,"(3,-1)",13.8473480394,17.6735443631,35.8798656859,7.327701014128222,9.352436913136145,18.986807251848777,0.0001243686115,-0.0007166228558,-0.00011854742288364286,0.00029770313683364285,0.00017915571395,-2.511257770030527
551,"(3,-1)",20.4832473926,12.8306057061,35.920240067,10.83926772580043,6.7896641419682355,19.008172454231897,0.0001069079571,-0.005241282561,-0.000872855657523783,0.002183176297773783,0.00131032064025,-2.501188230786368
555,"(3,-1)",2.8874040714,21.8810616972,35.9955191545,1.5279484333025048,11.578959200892738,19.048008431795747,0.0001010037028,-0.006719247346,-0.0011192455864854343,0.002799057422985434,0.0016798118365,-2.5008429399081313
561,"(3,-1)",21.9814311991,7.9174398656,36.0513979903,11.632072453969611,4.189728745705028,19.07757823827385,8.875321978e-05,-0.002665420959,-0.0004437297866224519,0.0011100850263724518,0.0006663552397499999,-2.5017140156898443
563,"(3,-1)",11.5136251335,17.2656239814,37.0266153786,6.092748035723943,9.13657474327072,19.59364105585513,8.628456902e-05,-0.003861373156,-0.0006430784395101935,0.0016084217285101934,0.000965343289,-2.501128368936241
565,"(3,-1)",17.0250830797,1.1481237285,36.0904415839,9.00928597979693,0.6075609124387014,19.098239218239392,8.290866167e-05,-0.003930700731,-0.0006546641670870842,0.001637339349837084,0.0009826751827499997,-2.5010370693150876
566,"(3,-1)",4.3931415645,1.7369349486,36.1679323601,2.3247504002788353,0.9191463916496216,19.13924557106093,8.191949145e-05,-3.899737382e-05,-6.0559053075298e-06,1.58052487625298e-05,9.749343455e-06,-2.6098903400748106
570,"(3,-1)",16.4240134757,14.6667382761,36.5883104213,8.691213643183422,7.761303654240208,19.361700061018706,7.334234932e-05,-0.001785075924,-0.0002971436821076703,0.0007434126631076703,0.000446268981,-2.501862593323771
572,"(3,-1)",16.6343125832,20.8360298524,36.16522077,8.802499138349237,11.025952163938891,19.137810659374654,7.306823059e-05,-0.001254442073,-0.0002087070024780316,0.0005223175207280317,0.00031361051825000007,-2.5026353429756654
579,"(3,-1)",7.1556600365,18.4103503458,37.3252039785,3.7866122204067754,9.742337848050504,19.75164733836272,6.652658172e-05,-0.002098545143,-0.00034944391092028707,0.0008740801966702871,0.00052463628575,-2.5013461942099107
581,"(3,-1)",22.20049082,9.080045508,36.257383362,11.747993813182664,4.8049531569501145,19.186581002760374,6.559162587e-05,-0.0004509864231,-7.485810226191597e-05,0.00018760470803691595,0.00011274660577499998,-2.506137643999022
584,"(3,-1)",23.0628413966,8.2492719862,36.2939101911,12.204330086143106,4.365326741777805,19.205910168307263,6.30933356e-05,0.0001951831284,3.281762660658951e-05,-8.16134087065895e-05,-4.8795782099999994e-05,2.4868772408484348
592,"(3,-1)",13.8707280406,17.7681593859,36.5340962646,7.340073177954545,9.402505027012582,19.33301116478382,5.681784983e-05,-0.001798858532,-0.00029956864828162923,0.0007492832812816292,0.00044971463299999995,-2.5012072711200943
593,"(3,-1)",15.4199546819,1.8277014296,37.1591859195,8.159888611080639,0.9671779449102248,19.663794364938745,5.662851956e-05,-0.002240917411,-0.00037324646566822375,0.0009334758184182237,0.00056022935275,-2.500963583799837
595,"(3,-1)",22.4660413898,7.2590496147,36.3995889788,11.888517123067645,3.841323629036847,19.261832974435755,5.615305033e-05,-0.00121259784,-0.0002018632163908098,0.0005050126763908098,0.00030314945999999996,-2.501756810478531
598,"(3,-1)",17.9429789226,5.8778522725,36.8430561751,9.495015541857814,3.110425471761334,19.496505708508305,5.564490929e-05,-0.001353727656,-0.0002253884073711127,0.0005638203213711127,0.00033843191399999997,-2.501549782206659
602,"(3,-1)",0.8048882055,16.1522367731,36.4450626871,0.4259284956888938,8.54739560570852,19.28589662456414,5.473214441e-05,-0.002573676992,-0.00042871962822022805,0.0010721388762202281,0.0006434192480000001,-2.500792605813428
604,"(3,-1)",15.7032232422,14.3091902788,37.4187735539,8.309787877761517,7.5720974022589616,19.801162225299862,5.253723911e-05,-0.001388669966,-0.00023123339514436042,0.0005784008866443604,0.0003471674915,-2.501372633841497
605,"(3,-1)",10.5728066111,18.8371837668,36.7395825101,5.594888314058436,9.968208367302724,19.44174980305993,5.197373614e-05,-0.002652637846,-0.00044189847754896075,0.0011050579390489608,0.0006631594615000001,-2.500705467867389
606,"(3,-1)",6.5606455953,20.6387540788,36.4696433686,3.471744137955437,10.92155832028316,19.298904161042824,5.192139552e-05,-0.002392491373,-0.00039854108076050986,0.0009966639240105099,0.00059812284325,-2.5007809034607957
612,"(3,-1)",1.4227071698,18.686757501,36.4897941577,0.7528642120706509,9.88860621551757,19.309567499416595,4.681897667e-05,-0.0003086645469,-5.126946667377316e-05,0.00012843560339877315,7.716613672499999e-05,-2.505109019682357
615,"(3,-1)",13.7190209493,1.6641730971,38.4896908081,7.259793242503625,0.8806424780114763,20.36786723100352,4.616457295e-05,-0.002367175531,-0.00039435867967745655,0.0009861525624274565,0.00059179388275,-2.5006488084249203
617,"(3,-1)",14.0579335126,18.3114274565,36.7246289146,7.439138047496467,9.68999010939458,19.433836701100013,4.467981959e-05,-0.002327060911,-0.00038768195476505745,0.0009694471825150574,0.00058176522775,-2.50062498550535
618,"(3,-1)",6.3674050689,0.4930213868,36.7493675396,3.3694856551583725,0.2608956823907345,19.446927817679512,4.424083091e-05,-0.004222529906,-0.0007035960903765725,0.0017592285668765724,0.0010556324765,-2.500338746815682
