atom_index,element,region,q_combi,q_ref,delta_q
6,Nb,surface_metal,11.2908,11.3270,-0.0362
7,Nb,surface_metal,11.2957,11.3270,-0.0313
14,Nb,surface_metal,11.3373,11.3270,0.0103
15,Nb,surface_metal,11.2626,11.3270,-0.0645
22,Nb,surface_metal,11.2803,11.3270,-0.0467
23,Nb,surface_metal,11.2835,11.3270,-0.0435
30,Nb,surface_metal,11.2614,11.3270,-0.0656
31,Nb,surface_metal,11.3294,11.3270,0.0024
38,Nb,surface_metal,11.3249,11.3270,-0.0021
39,Nb,surface_metal,11.3322,11.3270,0.0051
46,Nb,surface_metal,11.3258,11.3270,-0.0013
47,Nb,surface_metal,11.2622,11.3270,-0.0648
54,Nb,surface_metal,11.2836,11.3270,-0.0435
55,Nb,surface_metal,11.2835,11.3270,-0.0435
62,Nb,surface_metal,11.2646,11.3270,-0.0624
63,Nb,surface_metal,11.3438,11.3270,0.0168
70,Nb,surface_metal,11.2991,11.3270,-0.0279
71,Nb,surface_metal,11.2882,11.3270,-0.0388
79,N,surface_N,6.6217,6.5809,0.0408
80,N,surface_N,6.6320,6.5810,0.0510
87,N,surface_N,6.6181,6.5810,0.0371
88,N,surface_N,6.5894,6.5810,0.0083
95,N,surface_N,6.6134,6.5810,0.0324
96,N,surface_N,6.6130,6.5810,0.0320
103,N,surface_N,6.6136,6.5810,0.0326
104,N,surface_N,6.5756,6.5810,-0.0055
111,N,surface_N,6.7534,6.5810,0.1724
112,N,surface_N,6.7523,6.5810,0.1712
119,N,surface_N,6.5812,6.5810,0.0002
120,N,surface_N,6.6150,6.5810,0.0340
127,N,surface_N,6.6143,6.5810,0.0333
128,N,surface_N,6.6146,6.5810,0.0337
135,N,surface_N,6.5858,6.5810,0.0048
136,N,surface_N,6.6156,6.5810,0.0345
143,N,surface_N,6.6330,6.5810,0.0519
144,N,surface_N,6.6218,6.5810,0.0408
145,S,adsorbate_S,6.5943,6.7094,-0.1150
146,S,adsorbate_S,6.5919,6.7105,-0.1186
147,S,adsorbate_S,6.2107,6.1746,0.0361
148,S,adsorbate_S,6.2091,6.1678,0.0413
149,Li,adsorbate_Li,2.1342,2.1189,0.0153
150,Li,adsorbate_Li,2.1340,2.1188,0.0152
