atom_index,element,region,q_combi,q_ref,delta_q
6,Nb,surface_metal,11.2514,11.3270,-0.0756
7,Nb,surface_metal,11.2500,11.3270,-0.0771
14,Nb,surface_metal,11.2511,11.3270,-0.0760
15,Nb,surface_metal,11.1934,11.3270,-0.1336
22,Nb,surface_metal,11.2958,11.3270,-0.0312
23,Nb,surface_metal,11.2610,11.3270,-0.0660
30,Nb,surface_metal,11.2505,11.3270,-0.0765
31,Nb,surface_metal,11.2935,11.3270,-0.0335
38,Nb,surface_metal,11.2495,11.3270,-0.0776
39,Nb,surface_metal,11.2307,11.3270,-0.0963
46,Nb,surface_metal,11.0646,11.3270,-0.2625
47,Nb,surface_metal,11.2457,11.3270,-0.0814
54,Nb,surface_metal,11.2706,11.3270,-0.0565
55,Nb,surface_metal,11.2036,11.3270,-0.1234
62,Nb,surface_metal,11.2469,11.3270,-0.0801
63,Nb,surface_metal,11.2833,11.3270,-0.0438
70,Nb,surface_metal,11.2918,11.3270,-0.0353
71,Nb,surface_metal,11.2449,11.3270,-0.0822
79,N,surface_N,6.6001,6.5809,0.0192
80,N,surface_N,6.5690,6.5810,-0.0120
87,N,surface_N,6.5846,6.5810,0.0036
88,N,surface_N,6.5720,6.5810,-0.0091
95,N,surface_N,6.6084,6.5810,0.0274
96,N,surface_N,6.6063,6.5810,0.0253
103,N,surface_N,6.5900,6.5810,0.0089
104,N,surface_N,6.5623,6.5810,-0.0188
111,N,surface_N,6.5696,6.5810,-0.0114
112,N,surface_N,6.5725,6.5810,-0.0085
119,N,surface_N,6.5792,6.5810,-0.0018
120,N,surface_N,6.5977,6.5810,0.0167
127,N,surface_N,6.5933,6.5810,0.0123
128,N,surface_N,6.5566,6.5810,-0.0243
135,N,surface_N,6.5425,6.5810,-0.0385
136,N,surface_N,6.5535,6.5810,-0.0275
143,N,surface_N,6.5872,6.5810,0.0061
144,N,surface_N,6.6192,6.5810,0.0383
145,S,adsorbate_S,6.1436,6.0028,0.1408
146,S,adsorbate_S,6.4127,5.9979,0.4148
147,S,adsorbate_S,6.5943,5.9968,0.5975
148,S,adsorbate_S,6.3723,6.0013,0.3710
149,S,adsorbate_S,6.0404,5.9989,0.0415
150,S,adsorbate_S,6.1636,6.0009,0.1627
151,S,adsorbate_S,6.4515,5.9970,0.4546
152,S,adsorbate_S,6.4518,6.0045,0.4473
