atom_index,element,region,q_combi,q_ref,delta_q
6,Sc,surface_metal,9.2363,9.2338,0.0026
7,Sc,surface_metal,9.2300,9.2338,-0.0037
14,Sc,surface_metal,9.2349,9.2337,0.0012
15,Sc,surface_metal,9.2292,9.2337,-0.0045
22,Sc,surface_metal,9.2607,9.2337,0.0270
23,Sc,surface_metal,9.2347,9.2338,0.0009
30,Sc,surface_metal,9.2341,9.2337,0.0004
31,Sc,surface_metal,9.2240,9.2337,-0.0097
38,Sc,surface_metal,9.2990,9.2337,0.0652
39,Sc,surface_metal,9.2278,9.2337,-0.0059
46,Sc,surface_metal,9.2557,9.2337,0.0220
47,Sc,surface_metal,9.2565,9.2337,0.0227
54,Sc,surface_metal,9.2326,9.2338,-0.0011
55,Sc,surface_metal,9.2485,9.2337,0.0148
62,Sc,surface_metal,9.2586,9.2337,0.0248
63,Sc,surface_metal,9.2639,9.2337,0.0302
70,Sc,surface_metal,9.2272,9.2337,-0.0065
71,Sc,surface_metal,9.2499,9.2337,0.0161
79,N,surface_N,6.7779,6.7796,-0.0017
80,N,surface_N,6.7567,6.7796,-0.0229
87,N,surface_N,6.7501,6.7795,-0.0295
88,N,surface_N,6.7006,6.7796,-0.0791
95,N,surface_N,6.7570,6.7796,-0.0226
96,N,surface_N,6.7373,6.7796,-0.0424
103,N,surface_N,6.7437,6.7795,-0.0358
104,N,surface_N,6.7612,6.7796,-0.0184
111,N,surface_N,6.6647,6.7795,-0.1149
112,N,surface_N,6.6917,6.7797,-0.0880
119,N,surface_N,6.5696,6.7795,-0.2099
120,N,surface_N,6.7467,6.7796,-0.0330
127,N,surface_N,6.7683,6.7796,-0.0113
128,N,surface_N,6.7512,6.7796,-0.0284
135,N,surface_N,6.7054,6.7795,-0.0741
136,N,surface_N,6.7549,6.7796,-0.0248
143,N,surface_N,6.7424,6.7795,-0.0371
144,N,surface_N,6.7672,6.7796,-0.0124
145,S,adsorbate_S,6.3723,6.6198,-0.2475
146,S,adsorbate_S,6.3008,6.7395,-0.4387
147,S,adsorbate_S,6.5788,6.0360,0.5428
148,S,adsorbate_S,6.2018,6.0052,0.1966
149,S,adsorbate_S,6.0827,6.0531,0.0296
150,S,adsorbate_S,6.1447,6.1437,0.0009
151,S,adsorbate_S,6.1043,6.0077,0.0966
152,S,adsorbate_S,6.7163,6.1571,0.5592
153,Li,adsorbate_Li,2.1391,2.1199,0.0192
154,Li,adsorbate_Li,2.1262,2.1177,0.0085
