atom_index,element,region,q_combi,q_ref,delta_q
6,Sc,surface_metal,9.2239,9.2338,-0.0099
7,Sc,surface_metal,9.2223,9.2338,-0.0114
14,Sc,surface_metal,9.2258,9.2337,-0.0079
15,Sc,surface_metal,9.2206,9.2337,-0.0131
22,Sc,surface_metal,9.2207,9.2337,-0.0131
23,Sc,surface_metal,9.2238,9.2338,-0.0100
30,Sc,surface_metal,9.2204,9.2337,-0.0133
31,Sc,surface_metal,9.2184,9.2337,-0.0153
38,Sc,surface_metal,9.2280,9.2337,-0.0057
39,Sc,surface_metal,9.2210,9.2337,-0.0127
46,Sc,surface_metal,9.2161,9.2337,-0.0176
47,Sc,surface_metal,9.2231,9.2337,-0.0106
54,Sc,surface_metal,9.2222,9.2338,-0.0115
55,Sc,surface_metal,9.2195,9.2337,-0.0142
62,Sc,surface_metal,9.2184,9.2337,-0.0154
63,Sc,surface_metal,9.2311,9.2337,-0.0026
70,Sc,surface_metal,9.2208,9.2337,-0.0129
71,Sc,surface_metal,9.2210,9.2337,-0.0128
79,N,surface_N,6.7880,6.7796,0.0084
80,N,surface_N,6.7808,6.7796,0.0012
87,N,surface_N,6.7857,6.7795,0.0061
88,N,surface_N,6.7708,6.7796,-0.0088
95,N,surface_N,6.7843,6.7796,0.0048
96,N,surface_N,6.7816,6.7796,0.0020
103,N,surface_N,6.7817,6.7795,0.0021
104,N,surface_N,6.7254,6.7796,-0.0542
111,N,surface_N,6.7438,6.7795,-0.0358
112,N,surface_N,6.7120,6.7797,-0.0677
119,N,surface_N,6.7304,6.7795,-0.0492
120,N,surface_N,6.7782,6.7796,-0.0015
127,N,surface_N,6.7798,6.7796,0.0002
128,N,surface_N,6.7792,6.7796,-0.0004
135,N,surface_N,6.7028,6.7795,-0.0768
136,N,surface_N,6.7646,6.7796,-0.0150
143,N,surface_N,6.7398,6.7795,-0.0397
144,N,surface_N,6.7848,6.7796,0.0052
145,S,adsorbate_S,6.0275,6.0028,0.0247
146,S,adsorbate_S,6.0868,5.9979,0.0890
147,S,adsorbate_S,6.0748,5.9968,0.0780
148,S,adsorbate_S,6.0827,6.0013,0.0814
149,S,adsorbate_S,6.0261,5.9989,0.0272
150,S,adsorbate_S,6.0132,6.0009,0.0123
151,S,adsorbate_S,6.0415,5.9970,0.0446
152,S,adsorbate_S,6.1204,6.0045,0.1160
