atom_index,element,region,q_combi,q_ref,delta_q
6,Ti,surface_metal,10.2992,10.3124,-0.0132
7,Ti,surface_metal,10.2939,10.3124,-0.0185
14,Ti,surface_metal,10.2874,10.3124,-0.0250
15,Ti,surface_metal,10.2728,10.3124,-0.0396
22,Ti,surface_metal,10.2962,10.3124,-0.0162
23,Ti,surface_metal,10.2901,10.3124,-0.0223
30,Ti,surface_metal,10.2828,10.3124,-0.0296
31,Ti,surface_metal,10.2719,10.3124,-0.0405
38,Ti,surface_metal,10.2663,10.3124,-0.0462
39,Ti,surface_metal,10.2161,10.3124,-0.0964
46,Ti,surface_metal,10.2504,10.3124,-0.0620
47,Ti,surface_metal,10.2380,10.3124,-0.0744
54,Ti,surface_metal,10.2930,10.3124,-0.0194
55,Ti,surface_metal,10.2379,10.3124,-0.0745
62,Ti,surface_metal,10.2760,10.3124,-0.0364
63,Ti,surface_metal,10.2473,10.3124,-0.0651
70,Ti,surface_metal,10.2494,10.3124,-0.0630
71,Ti,surface_metal,10.2784,10.3124,-0.0340
79,N,surface_N,6.6079,6.6166,-0.0088
80,N,surface_N,6.6166,6.6166,0.0000
87,N,surface_N,6.6086,6.6166,-0.0080
88,N,surface_N,6.5746,6.6166,-0.0420
95,N,surface_N,6.5820,6.6166,-0.0346
96,N,surface_N,6.5860,6.6166,-0.0306
103,N,surface_N,6.5688,6.6166,-0.0478
104,N,surface_N,6.5435,6.6166,-0.0731
111,N,surface_N,6.5646,6.6166,-0.0520
112,N,surface_N,6.6424,6.6167,0.0257
119,N,surface_N,6.6483,6.6166,0.0317
120,N,surface_N,6.5424,6.6166,-0.0743
127,N,surface_N,6.5806,6.6166,-0.0360
128,N,surface_N,6.5958,6.6166,-0.0208
135,N,surface_N,6.5333,6.6166,-0.0833
136,N,surface_N,6.5457,6.6166,-0.0709
143,N,surface_N,6.5324,6.6166,-0.0843
144,N,surface_N,6.5915,6.6166,-0.0251
145,S,adsorbate_S,7.0853,6.6198,0.4655
146,S,adsorbate_S,6.5119,6.7395,-0.2277
147,S,adsorbate_S,6.4485,6.0360,0.4125
148,S,adsorbate_S,6.5369,6.0052,0.5317
149,S,adsorbate_S,6.4427,6.0531,0.3896
150,S,adsorbate_S,6.5885,6.1437,0.4447
151,S,adsorbate_S,6.0862,6.0077,0.0786
152,S,adsorbate_S,6.5866,6.1571,0.4295
153,Li,adsorbate_Li,2.1387,2.1199,0.0187
154,Li,adsorbate_Li,2.1316,2.1177,0.0139
