atom_index,element,region,q_combi,q_ref,delta_q
6,Ti,surface_metal,10.2953,10.3124,-0.0172
7,Ti,surface_metal,10.2849,10.3124,-0.0275
14,Ti,surface_metal,10.2973,10.3124,-0.0151
15,Ti,surface_metal,10.2934,10.3124,-0.0191
22,Ti,surface_metal,10.2829,10.3124,-0.0295
23,Ti,surface_metal,10.3000,10.3124,-0.0124
30,Ti,surface_metal,10.2963,10.3124,-0.0161
31,Ti,surface_metal,10.2734,10.3124,-0.0390
38,Ti,surface_metal,10.2583,10.3124,-0.0541
39,Ti,surface_metal,10.2886,10.3124,-0.0238
46,Ti,surface_metal,10.2623,10.3124,-0.0501
47,Ti,surface_metal,10.2780,10.3124,-0.0344
54,Ti,surface_metal,10.2915,10.3124,-0.0209
55,Ti,surface_metal,10.2432,10.3124,-0.0692
62,Ti,surface_metal,10.2879,10.3124,-0.0245
63,Ti,surface_metal,10.2388,10.3124,-0.0736
70,Ti,surface_metal,10.2932,10.3124,-0.0192
71,Ti,surface_metal,10.2908,10.3124,-0.0216
79,N,surface_N,6.6029,6.6166,-0.0137
80,N,surface_N,6.5670,6.6166,-0.0496
87,N,surface_N,6.5834,6.6166,-0.0332
88,N,surface_N,6.5861,6.6166,-0.0305
95,N,surface_N,6.6074,6.6166,-0.0092
96,N,surface_N,6.6074,6.6166,-0.0093
103,N,surface_N,6.5949,6.6166,-0.0217
104,N,surface_N,6.5596,6.6166,-0.0570
111,N,surface_N,6.5449,6.6166,-0.0718
112,N,surface_N,6.5362,6.6167,-0.0804
119,N,surface_N,6.5359,6.6166,-0.0807
120,N,surface_N,6.5915,6.6166,-0.0251
127,N,surface_N,6.5962,6.6166,-0.0204
128,N,surface_N,6.5572,6.6166,-0.0595
135,N,surface_N,6.5194,6.6166,-0.0972
136,N,surface_N,6.5644,6.6166,-0.0522
143,N,surface_N,6.5728,6.6166,-0.0438
144,N,surface_N,6.6061,6.6166,-0.0105
145,S,adsorbate_S,6.1553,6.0028,0.1525
146,S,adsorbate_S,6.4347,5.9979,0.4368
147,S,adsorbate_S,6.4301,5.9968,0.4333
148,S,adsorbate_S,6.1794,6.0013,0.1781
149,S,adsorbate_S,6.0596,5.9989,0.0607
150,S,adsorbate_S,6.1231,6.0009,0.1221
151,S,adsorbate_S,6.4123,5.9970,0.4153
152,S,adsorbate_S,6.4676,6.0045,0.4631
