atom_index,element,region,q_combi,q_ref,delta_q
6,V,surface_metal,11.4682,11.4507,0.0174
7,V,surface_metal,11.4594,11.4507,0.0086
14,V,surface_metal,11.4911,11.4413,0.0498
15,V,surface_metal,11.4465,11.4696,-0.0231
22,V,surface_metal,11.4781,11.4413,0.0368
23,V,surface_metal,11.4351,11.4507,-0.0156
30,V,surface_metal,11.4686,11.4696,-0.0010
31,V,surface_metal,11.4866,11.4413,0.0453
38,V,surface_metal,11.4975,11.4509,0.0467
39,V,surface_metal,11.4974,11.4509,0.0465
46,V,surface_metal,11.4537,11.4509,0.0028
47,V,surface_metal,11.4296,11.4413,-0.0117
54,V,surface_metal,11.4550,11.4507,0.0042
55,V,surface_metal,11.4808,11.4413,0.0395
62,V,surface_metal,11.4168,11.4413,-0.0245
63,V,surface_metal,11.4814,11.4509,0.0306
70,V,surface_metal,11.4512,11.4413,0.0099
71,V,surface_metal,11.4610,11.4413,0.0198
79,N,surface_N,6.4983,6.5108,-0.0125
80,N,surface_N,6.5190,6.4853,0.0337
87,N,surface_N,6.5055,6.4978,0.0077
88,N,surface_N,6.4662,6.4978,-0.0316
95,N,surface_N,6.4813,6.4978,-0.0165
96,N,surface_N,6.4891,6.4853,0.0038
103,N,surface_N,6.5078,6.4978,0.0100
104,N,surface_N,6.4866,6.4978,-0.0112
111,N,surface_N,6.5995,6.4877,0.1118
112,N,surface_N,6.4548,6.5107,-0.0559
119,N,surface_N,6.4534,6.4877,-0.0343
120,N,surface_N,6.4752,6.4978,-0.0226
127,N,surface_N,6.5167,6.4978,0.0189
128,N,surface_N,6.4619,6.4853,-0.0235
135,N,surface_N,6.4289,6.4877,-0.0589
136,N,surface_N,6.4803,6.4978,-0.0175
143,N,surface_N,6.5165,6.4877,0.0288
144,N,surface_N,6.4802,6.4853,-0.0051
145,S,adsorbate_S,6.5686,6.6198,-0.0512
146,S,adsorbate_S,6.6809,6.7395,-0.0586
147,S,adsorbate_S,6.0592,6.0360,0.0232
148,S,adsorbate_S,5.9986,6.0052,-0.0066
149,S,adsorbate_S,6.0499,6.0531,-0.0032
150,S,adsorbate_S,6.2169,6.1437,0.0732
151,S,adsorbate_S,6.0341,6.0077,0.0265
152,S,adsorbate_S,6.1881,6.1571,0.0311
153,Li,adsorbate_Li,2.1401,2.1199,0.0201
154,Li,adsorbate_Li,2.1210,2.1177,0.0033
