atom_index,element,region,q_combi,q_ref,delta_q
6,V,surface_metal,11.4555,11.4507,0.0048
7,V,surface_metal,11.4465,11.4507,-0.0043
14,V,surface_metal,11.4352,11.4413,-0.0061
15,V,surface_metal,11.4416,11.4696,-0.0280
22,V,surface_metal,11.4867,11.4413,0.0455
23,V,surface_metal,11.4394,11.4507,-0.0114
30,V,surface_metal,11.4251,11.4696,-0.0445
31,V,surface_metal,11.5046,11.4413,0.0633
38,V,surface_metal,11.5082,11.4509,0.0573
39,V,surface_metal,11.4858,11.4509,0.0349
46,V,surface_metal,11.5148,11.4509,0.0639
47,V,surface_metal,11.4322,11.4413,-0.0091
54,V,surface_metal,11.4558,11.4507,0.0050
55,V,surface_metal,11.4654,11.4413,0.0241
62,V,surface_metal,11.4412,11.4413,-0.0001
63,V,surface_metal,11.4763,11.4509,0.0255
70,V,surface_metal,11.4390,11.4413,-0.0023
71,V,surface_metal,11.4542,11.4413,0.0129
79,N,surface_N,6.4929,6.5108,-0.0179
80,N,surface_N,6.5003,6.4853,0.0150
87,N,surface_N,6.4993,6.4978,0.0015
88,N,surface_N,6.4725,6.4978,-0.0252
95,N,surface_N,6.4912,6.4978,-0.0066
96,N,surface_N,6.4893,6.4853,0.0040
103,N,surface_N,6.4909,6.4978,-0.0069
104,N,surface_N,6.4641,6.4978,-0.0337
111,N,surface_N,6.4429,6.4877,-0.0448
112,N,surface_N,6.3664,6.5107,-0.1443
119,N,surface_N,6.3925,6.4877,-0.0953
120,N,surface_N,6.4292,6.4978,-0.0686
127,N,surface_N,6.4811,6.4978,-0.0167
128,N,surface_N,6.4863,6.4853,0.0009
135,N,surface_N,6.3484,6.4877,-0.1393
136,N,surface_N,6.4166,6.4978,-0.0811
143,N,surface_N,6.4690,6.4877,-0.0187
144,N,surface_N,6.4890,6.4853,0.0036
145,S,adsorbate_S,6.1497,6.0028,0.1469
146,S,adsorbate_S,6.2742,5.9979,0.2764
147,S,adsorbate_S,6.3471,5.9968,0.3503
148,S,adsorbate_S,6.0676,6.0013,0.0663
149,S,adsorbate_S,6.0377,5.9989,0.0388
150,S,adsorbate_S,6.1034,6.0009,0.1024
151,S,adsorbate_S,6.0054,5.9970,0.0084
152,S,adsorbate_S,6.1403,6.0045,0.1358
