atom_index,element,region,q_combi,q_ref,delta_q
6,Zr,surface_metal,10.1346,10.1761,-0.0415
7,Zr,surface_metal,10.1334,10.1761,-0.0427
14,Zr,surface_metal,10.0252,10.1761,-0.1509
15,Zr,surface_metal,10.1319,10.1761,-0.0442
22,Zr,surface_metal,10.1377,10.1761,-0.0384
23,Zr,surface_metal,10.1726,10.1761,-0.0035
30,Zr,surface_metal,10.1260,10.1761,-0.0501
31,Zr,surface_metal,9.9374,10.1761,-0.2387
38,Zr,surface_metal,9.9529,10.1763,-0.2233
39,Zr,surface_metal,9.9822,10.1763,-0.1941
46,Zr,surface_metal,10.0429,10.1763,-0.1334
47,Zr,surface_metal,10.1373,10.1761,-0.0388
54,Zr,surface_metal,10.1773,10.1761,0.0012
55,Zr,surface_metal,10.0912,10.1761,-0.0849
62,Zr,surface_metal,10.1536,10.1761,-0.0225
63,Zr,surface_metal,9.9725,10.1763,-0.2038
70,Zr,surface_metal,10.1460,10.1761,-0.0301
71,Zr,surface_metal,10.1399,10.1761,-0.0362
79,N,surface_N,6.7451,6.7679,-0.0228
80,N,surface_N,6.6519,6.7658,-0.1139
87,N,surface_N,6.7211,6.7618,-0.0407
88,N,surface_N,6.7007,6.7638,-0.0630
95,N,surface_N,6.7502,6.7618,-0.0116
96,N,surface_N,6.7472,6.7658,-0.0186
103,N,surface_N,6.7557,6.7637,-0.0080
104,N,surface_N,6.6486,6.7638,-0.1152
111,N,surface_N,6.7081,6.7619,-0.0538
112,N,surface_N,6.7022,6.7681,-0.0659
119,N,surface_N,6.6995,6.7619,-0.0624
120,N,surface_N,6.7395,6.7638,-0.0243
127,N,surface_N,6.7483,6.7598,-0.0116
128,N,surface_N,6.7480,6.7639,-0.0159
135,N,surface_N,6.7170,6.7638,-0.0468
136,N,surface_N,6.7611,6.7638,-0.0027
143,N,surface_N,6.6967,6.7638,-0.0671
144,N,surface_N,6.7434,6.7639,-0.0205
145,S,adsorbate_S,7.2230,6.6198,0.6032
146,S,adsorbate_S,7.1031,6.7395,0.3635
147,S,adsorbate_S,6.5966,6.0360,0.5606
148,S,adsorbate_S,6.6467,6.0052,0.6415
149,S,adsorbate_S,6.6264,6.0531,0.5732
150,S,adsorbate_S,6.0656,6.1437,-0.0781
151,S,adsorbate_S,6.1513,6.0077,0.1437
152,S,adsorbate_S,6.6901,6.1571,0.5330
153,Li,adsorbate_Li,2.1330,2.1199,0.0131
154,Li,adsorbate_Li,2.1248,2.1177,0.0072
