atom_index,element,region,q_combi,q_ref,delta_q
6,Zr,surface_metal,10.1551,10.1761,-0.0210
7,Zr,surface_metal,10.1443,10.1761,-0.0318
14,Zr,surface_metal,10.0312,10.1761,-0.1449
15,Zr,surface_metal,10.1364,10.1761,-0.0397
22,Zr,surface_metal,10.0434,10.1761,-0.1327
23,Zr,surface_metal,10.1746,10.1761,-0.0014
30,Zr,surface_metal,10.1297,10.1761,-0.0464
31,Zr,surface_metal,9.9701,10.1761,-0.2060
38,Zr,surface_metal,9.9903,10.1763,-0.1859
39,Zr,surface_metal,9.9454,10.1763,-0.2308
46,Zr,surface_metal,10.0274,10.1763,-0.1489
47,Zr,surface_metal,10.0565,10.1761,-0.1196
54,Zr,surface_metal,10.1654,10.1761,-0.0107
55,Zr,surface_metal,9.9885,10.1761,-0.1876
62,Zr,surface_metal,10.0926,10.1761,-0.0835
63,Zr,surface_metal,10.0185,10.1763,-0.1578
70,Zr,surface_metal,10.1702,10.1761,-0.0059
71,Zr,surface_metal,10.1469,10.1761,-0.0292
79,N,surface_N,6.7482,6.7679,-0.0197
80,N,surface_N,6.7224,6.7658,-0.0434
87,N,surface_N,6.7189,6.7618,-0.0429
88,N,surface_N,6.6827,6.7638,-0.0811
95,N,surface_N,6.7344,6.7618,-0.0274
96,N,surface_N,6.7237,6.7658,-0.0421
103,N,surface_N,6.7501,6.7637,-0.0136
104,N,surface_N,6.6906,6.7638,-0.0732
111,N,surface_N,6.6807,6.7619,-0.0812
112,N,surface_N,6.7100,6.7681,-0.0581
119,N,surface_N,6.6555,6.7619,-0.1063
120,N,surface_N,6.7330,6.7638,-0.0308
127,N,surface_N,6.7195,6.7598,-0.0403
128,N,surface_N,6.7213,6.7639,-0.0425
135,N,surface_N,6.6809,6.7638,-0.0829
136,N,surface_N,6.7048,6.7638,-0.0589
143,N,surface_N,6.7512,6.7638,-0.0126
144,N,surface_N,6.7651,6.7639,0.0012
145,S,adsorbate_S,6.1847,6.0028,0.1819
146,S,adsorbate_S,6.5225,5.9979,0.5247
147,S,adsorbate_S,6.5988,5.9968,0.6020
148,S,adsorbate_S,6.5811,6.0013,0.5797
149,S,adsorbate_S,6.5099,5.9989,0.5110
150,S,adsorbate_S,6.1662,6.0009,0.1653
151,S,adsorbate_S,6.4835,5.9970,0.4865
152,S,adsorbate_S,6.5321,6.0045,0.5276
