cp_no,cp_type,bond_type,atom1,atom2,x_bohr,y_bohr,z_bohr,x_ang,y_ang,z_ang,rho,laplacian,G_ked,V_ped,H_ted,abs_V_over_G
306,"(3,-1)",Ti-Ti,Ti,Ti,3.8821576242,7.9485551645,30.0265633991,2.0543493439259697,4.206194252793872,15.889373073048294,1.623100314,24.29272822,10.485205300995354,-16.558387355995354,-6.073182055,1.5792144150409222
307,"(3,-1)",S-S,S,S,8.0371491478,11.9467716403,37.0733153622,4.253076169780859,6.321959296112108,19.618353622926588,0.1323393353,-0.0964577062,0.08260091988171542,-0.05848649333171542,0.024114426549999998,0.7080610411538772
314,"(3,-1)",N-Ti,N,Ti,1.9644498027,7.9489359024,30.8083203974,1.0395420675851303,4.2063957306138855,16.30306106102588,0.08611774244,0.3905965167,0.11331895045967974,-0.21096807963467973,-0.09764912917499999,1.8617193221335449
315,"(3,-1)",Ti-N,Ti,N,7.9572197395,1.973330699,30.8243908225,4.210779348426179,1.044241635519634,16.311565163758594,0.0842430996,0.3834784592,0.11039589829992358,-0.20626551309992358,-0.0958696148,1.868416456375412
316,"(3,-1)",N-Ti,N,Ti,7.9605166037,17.9654890424,30.7933119117,4.212523973828318,9.506927384271055,16.295118912423018,0.08278191121,0.2613162203,0.08869957579447571,-0.1540286308694757,-0.065329055075,1.7365204905418359
317,"(3,-1)",Ti-N,Ti,N,11.951957626,1.9303780404,30.7884144913,6.324703601560705,1.021512067440087,16.292527309155044,0.08269915837,0.295477163,0.09431787294822705,-0.16818716369822706,-0.07386929075000001,1.7831950450213008
318,"(3,-1)",N-Ti,N,Ti,17.9753055832,7.9553203209,30.7794354901,9.512122073952481,4.209774219389062,16.287775826343182,0.08259172226,0.2886343048,0.0930798496667859,-0.1652384258667859,-0.07215857619999999,1.7752330548267812
319,"(3,-1)",Ti-N,Ti,N,1.9416667233,11.9408101968,30.7849185949,1.0274857811720695,6.31880463606772,16.290677360448427,0.08234540082,0.262431299,0.08848935302916852,-0.15409717777916854,-0.06560782475000002,1.7414205495250246
320,"(3,-1)",Ti-N,Ti,N,13.9750888397,7.9353093951,30.8704067799,7.3952985345516655,4.199184893486291,16.33591575975334,0.08109267206,0.3526317356,0.10239385880208546,-0.19055179270208544,-0.08815793389999999,1.8609689578200024
323,"(3,-1)",Ti-N,Ti,N,21.9261272897,11.9469220609,30.8053250886,11.602806885440344,6.322038895265681,16.30147601186925,0.08029074709,0.189151515,0.07443056666950565,-0.12171844541950565,-0.04728787875,1.6353287482006225
324,"(3,-1)",Ti-N,Ti,N,21.8816556312,7.9481238602,30.8049197448,11.579273497230329,4.2059660163873405,16.301261513167702,0.08028278147,0.1524329752,0.06830371589936944,-0.10641195969936944,-0.0381082438,1.557923435031619
329,"(3,-1)",N-Ti,N,Ti,2.0022497081,15.9319861793,30.8258283292,1.0595449160977422,8.430844010777962,16.31232585954478,0.0800936616,0.1331034713,0.06491384066828772,-0.09818970849328772,-0.033275867825,1.5126159149177598
340,"(3,-1)",N-Ti,N,Ti,21.9253122212,3.9645111945,30.8162610378,11.602375569764806,2.0979289765666276,16.30726306696567,0.07970295396,0.1864549617,0.07345891704860674,-0.12007265747360674,-0.046613740424999994,1.634555235740221
341,"(3,-1)",Ti-N,Ti,N,21.8785046045,15.9304710961,30.8162299178,11.57760604570969,8.430042263275874,16.307246598970867,0.07969470943,0.1640600725,0.06971912887246345,-0.11073414699746345,-0.041015018125,1.588289308663457
342,"(3,-1)",Ti-N,Ti,N,11.9525581251,21.90861628,30.8111471854,6.325021371999602,11.593540458166906,16.30455693281558,0.07946259584,0.128318202,0.06355664867324698,-0.09563619917324698,-0.0320795505,1.504739490984258
343,"(3,-1)",Ti-N,Ti,N,15.9366385566,21.864176653,30.8155332455,8.433305942821724,11.570024020296723,16.306877935866225,0.07941234458,0.2127153299,0.07757839933286481,-0.1307572318078648,-0.05317883247499999,1.685485043933765
344,"(3,-1)",Ti-N,Ti,N,7.9591443036,21.8721904424,30.810014579,4.211797783888854,11.574264735020314,16.30395758331976,0.07938517894,0.1835590022,0.07269499653914441,-0.1185847470891444,-0.04588975055,1.631264223601545
345,"(3,-1)",Ti-N,Ti,N,17.9583661735,15.9278880978,30.8202562203,9.503158124372803,8.428675399439669,16.309377226498135,0.07933054576,0.2325051885,0.08080441427120111,-0.1389307113962011,-0.058126297125000004,1.7193455660715848
346,"(3,-1)",Ti-N,Ti,N,15.9445966097,1.9944891236,30.8250877666,8.437517163165534,1.055438191636923,16.3119339706936,0.07932914347,0.1010459123,0.058893295976033384,-0.08415477405103339,-0.025261478075000003,1.4289363951591392
347,"(3,-1)",Ti-N,Ti,N,17.901083851,19.9049469347,30.8196152483,9.472845624717232,10.53324430241515,16.3090380387229,0.0792123329,0.149587685,0.06688044011777255,-0.10427736136777255,-0.03739692124999999,1.5591608127001886
380,"(3,-1)",N-Ti,N,Ti,15.9398923263,17.942196861,30.8224662587,8.435027763596546,9.49460169268156,16.310546728454675,0.07913569144,0.1793200362,0.07176820767047035,-0.11659821672047035,-0.04483000905000001,1.6246499739249542
381,"(3,-1)",Ti-N,Ti,N,3.973118325,1.9524835775,30.8222329819,2.102483673878642,1.0332098139085537,16.310423283688277,0.07913184095,0.2235659107,0.07913912377267379,-0.1350306014476738,-0.055891477674999995,1.706243322020441
382,"(3,-1)",Ti-N,Ti,N,1.9647519776,19.9054191586,30.8172691607,1.0397019716559224,10.533494192541482,16.307796542630157,0.07911204559,0.1854633,0.07277122995053288,-0.11913705495053288,-0.046365825,1.6371449957836046
383,"(3,-1)",N-Ti,N,Ti,7.13763e-05,21.8649470154,30.8201932525,3.7770711359789195e-05,11.57043167852295,16.309343905373353,0.07909402183,0.209321784,0.07673175025729873,-0.12906219625729873,-0.052330446,1.6819920805210922
384,"(3,-1)",N-Ti,N,Ti,23.8841351314,13.9119704651,30.8114244885,12.638940014070641,7.361897729123033,16.30470367529662,0.07903479343,0.1740426097,0.07079967615193794,-0.11431032857693793,-0.04351065242499999,1.6145600487158303
385,"(3,-1)",Ti-N,Ti,N,19.9203956126,5.978710614,30.8123590636,10.541419390698673,3.1637974076143207,16.305198231141432,0.07894571028,0.1099547608,0.060039887477404005,-0.087528577677404,-0.0274886902,1.4578404683110933
386,"(3,-1)",Ti-N,Ti,N,19.9120986449,1.9540494143,30.8179504341,10.537028824472094,1.0340384190591336,16.30815705698784,0.07892172504,0.2208942299,0.07850867854679959,-0.1337322360217996,-0.055223557475000004,1.703407043618507
388,"(3,-1)",Ti-N,Ti,N,13.9194529693,23.8735067594,30.815115474,7.365857299826287,12.633315721819061,16.306656860709055,0.07887519653,0.1478904064,0.06630041567819471,-0.10327301727819471,-0.0369726016,1.5576526364398011
390,"(3,-1)",N-Ti,N,Ti,21.928055432,19.9041277099,30.820369806,11.603827214404916,10.532810787320368,16.30943733346206,0.07882350883,0.1961103293,0.07429158780090017,-0.12331917012590017,-0.049027582325,1.6599345063992015
399,"(3,-1)",N-Ti,N,Ti,3.9300896683,5.978508897,30.8075509475,2.079713889336502,3.163690663574866,16.302653885673855,0.07844733733,0.1004421868,0.05801649085588348,-0.08312703755588348,-0.0251105467,1.4328173994938118
403,"(3,-1)",N-Ti,N,Ti,3.9182300477,9.9152272248,30.7711390419,2.0734380483848245,5.246912288457716,16.283385535024163,0.07800932839,0.2176292994,0.07716428441577415,-0.13157160926577416,-0.05440732485000001,1.7050842920650204
404,"(3,-1)",Ti-N,Ti,N,7.9302841488,13.954770066,30.8805814935,4.19652564766507,7.384546302555785,16.3412999863181,0.07794345901,0.3426996187,0.09795180560560302,-0.183626710280603,-0.085674904675,1.8746638629609829
405,"(3,-1)",Ti-N,Ti,N,11.9884834224,5.9441726842,30.8696566018,6.344032220626288,3.145520722251806,16.33551878259869,0.07773524328,0.341343868,0.09754419928286036,-0.18288016628286036,-0.085335967,1.8748440976232865
408,"(3,-1)",Ti-N,Ti,N,9.9855181578,23.8796744275,30.8112328691,5.2841086483356206,12.636579511222099,16.304602274676967,0.07755995486,0.1983916126,0.07356615261213761,-0.12316405576213761,-0.04959790315,1.6741946042970974
409,"(3,-1)",Ti-N,Ti,N,9.9275385144,3.9231930633,30.7867075674,5.2534271423510726,2.076064363137785,16.29162404392639,0.07755295255,0.1750816172,0.06967505935752563,-0.11344546365752564,-0.04377040430000001,1.628207635610322
410,"(3,-1)",N-Ti,N,Ti,9.9870720021,15.9719133323,30.7923655473,5.284930907328499,8.451972550242477,16.294618117949316,0.07750439454,0.2002382345,0.07382557958149022,-0.12388513820649022,-0.050059558625,1.6780787757953626
412,"(3,-1)",Ti-N,Ti,N,3.9567073547,13.9610555352,30.7959966628,2.093799362386797,7.3878724296163645,16.296539621522133,0.07746449495,0.1745194554,0.06950441378973135,-0.11313427763973136,-0.043629863850000006,1.6277279595795386
415,"(3,-1)",Ti-N,Ti,N,5.9341647723,15.9464001071,30.7969845477,3.140224763345431,8.438471532889569,16.297062387698226,0.07738606145,0.2169936473,0.07651526308611752,-0.1307636749111175,-0.054248411824999995,1.7089881108288643
421,"(3,-1)",Ti-N,Ti,N,15.9588375318,5.9329479812,30.7907228535,8.445053134603342,3.1395808652248607,16.293748841825835,0.07732923368,0.2198450897,0.07694113155444735,-0.13190240397944736,-0.05496127242500001,1.7143288812448345
452,"(3,-1)",Ti-N,Ti,N,23.8865843428,9.9777334639,30.8077058425,12.640236080928245,5.279989165729753,16.30273585257794,0.07707227083,0.1644642733,0.06748804830523322,-0.10860411663023323,-0.041116068325000005,1.6092348105703294
486,"(3,-1)",Ti-N,Ti,N,14.0354635852,11.9497695141,30.8421123129,7.427247473985361,6.323545702608282,16.320942972621815,0.07486207687,0.3064465242,0.08925463606500783,-0.16586626711500785,-0.07661163105000002,1.8583490385216586
488,"(3,-1)",N-Ti,N,Ti,5.8820334721,7.9468938608,30.8385163455,3.1126380673039615,4.205315128735415,16.319040068622524,0.07448507481,0.3030367844,0.08836642791555932,-0.1641256240155593,-0.07575919609999998,1.857330073049841
490,"(3,-1)",Ti-N,Ti,N,7.9424967122,5.8988137946,30.8548799219,4.202988257903266,3.1215178315628496,16.32769930034255,0.07439037478,0.2830008591,0.0849469153160167,-0.1556971300910167,-0.07075021477500001,1.8328756201658107
491,"(3,-1)",N-Ti,N,Ti,11.9747334148,13.9976938108,30.8579069401,6.336756029954391,7.407260570111291,16.32930112939103,0.07437366182,0.2663383917,0.08215569199047815,-0.14874028991547816,-0.06658459792500002,1.8104684692171684
505,"(3,-1)",Ti-N,Ti,N,12.0060523365,9.9051739629,30.9398497028,6.353329289588619,5.241592331364825,16.372663372011697,0.07340514376,0.2279818314,0.07494682737411569,-0.1319422852241157,-0.05699545785,1.7604785932497586
506,"(3,-1)",N-Ti,N,Ti,7.9161054094,9.9912334153,30.9426154778,4.189022581895017,5.2871330323591605,16.374126957112228,0.07328614351,0.1920123043,0.0688521251375919,-0.1168552012125919,-0.048003076075,1.6971909142829242
514,"(3,-1)",N-Ti,N,Ti,9.920325213,11.9675865863,30.93424355,5.249610027634695,6.332974091181838,16.369696723709,0.06819035245,0.1741366238,0.06170212592478018,-0.10523628187478018,-0.04353415595,1.7055535817853604
515,"(3,-1)",N-Ti,N,Ti,10.0018355854,7.9298325646,30.9264283693,5.292743459162378,4.196286679597619,16.36556110818334,0.06811859147,0.2128031152,0.06808924371186563,-0.12129002251186563,-0.0532007788,1.7813389589863946
521,"(3,-1)",S-Ti,S,Ti,12.00515667,7.4316833813,32.9854553329,6.352855323288235,3.9326774841568493,17.455151253990266,0.04163705358,0.07614690806,0.027052720825442408,-0.04608944784044241,-0.019036727015,1.7036899222756343
522,"(3,-1)",S-Ti,S,Ti,7.9384714261,12.4448296237,33.0106355933,4.200858168231713,6.58552023064416,17.468476073958975,0.04117030623,0.04833424539,0.022149961234682713,-0.034233522582182714,-0.0120835613475,1.5455341984336928
523,"(3,-1)",N-N,N,N,21.8904161974,21.9012563494,30.8100428919,11.583909389218125,11.589645750619434,16.303972565861216,0.03004271517,0.02105450936,0.011845267549825097,-0.017108894889825095,-0.0052636273399999985,1.4443654242387898
524,"(3,-1)",N-N,N,N,13.9999433061,9.9831000909,30.8557743201,7.4084509517601225,5.282829062437661,16.328172595487477,0.02907024636,0.04536960094,0.015452922346015141,-0.026795322581015142,-0.011342400235000001,1.7339971030091195
525,"(3,-1)",N-N,N,N,9.9522880487,9.9569888744,30.956117013,5.266524031883515,5.269011601716462,16.3812716618525,0.02668137628,0.03039232207,0.011905799651699106,-0.019503880169199107,-0.007598080517500001,1.6381831325723393
526,"(3,-1)",Li-S,Li,S,10.6718787098,12.2291694076,35.0251976432,5.647315010928493,6.471397758981957,18.534536400750337,0.02354939013,0.1012995444,0.02243847867315931,-0.04776336477315931,-0.0253248861,2.1286365028968466
527,"(3,-1)",Li-S,Li,S,9.3198525772,7.6297742294,34.9910144699,4.93185359298827,4.037502646663184,18.516447444443045,0.02341266249,0.13556948,0.028096482731685742,-0.06198885273168574,-0.03389236999999999,2.2062851540409345
528,"(3,-1)",S-Li,S,Li,7.9738429953,8.9583384926,36.0553151647,4.219575996566833,4.740548577991345,19.079651117697527,0.02050281242,0.05250386114,0.013160498614856953,-0.026286463899856952,-0.013125965285,1.9973759862093698
9003,"(3,-1)",Li-N,Li,N,7.918304256912601,8.1029618288982,33.371088612840005,4.190186463418,4.287903049368358,17.6592208682779,0.0331832585,0.232420496,0.04857535690804561,-0.1066804809080456,-0.058105124,2.196185220213502
