cp_no,cp_type,bond_type,atom1,atom2,x_bohr,y_bohr,z_bohr,x_ang,y_ang,z_ang,rho,laplacian,G_ked,V_ped,H_ted,abs_V_over_G
316,"(3,-1)",V-V,V,V,0.0170095711,18.783900526,30.2395434371,0.009001077393643437,9.940012090547402,16.00207725553877,2.350823554,131.8168076,33.90299009291459,-66.8571919929146,-32.9542019,1.9720146161057082
318,"(3,-1)",S-S,S,S,13.5401851036,6.4765494683,41.0985383013,7.16515738846358,3.427242384020403,21.748409871170733,0.1499131606,-0.1392703617,0.0982580373679943,-0.06344044694299429,0.034817590425,0.6456514768903661
319,"(3,-1)",S-S,S,S,14.519042699,5.7868602496,38.2109289834,7.683146520685209,3.0622745668671434,20.220352826097805,0.1498668842,-0.1455916637,0.09714199969241356,-0.06074408376741356,0.036397915925,0.6253122641056508
326,"(3,-1)",V-N,V,N,17.4982497503,7.7067862259,30.4644774122,9.259674998845341,4.078255640178435,16.121107189123336,0.1004368252,0.3010800835,0.11248988918190558,-0.18775991005690557,-0.07527002087499998,1.6691269893001854
327,"(3,-1)",N-V,N,V,1.870837403,11.5852116403,30.539497004,0.990004519004356,6.130629983731873,16.160805847476418,0.1001431525,0.4281536292,0.1333654574566992,-0.2404038647566992,-0.1070384073,1.8025946848699783
328,"(3,-1)",V-N,V,N,13.6085552604,15.4812948517,30.5879975177,7.201337317349166,8.19234843105276,16.18647121404437,0.09973943204,0.4177027304,0.13120757584169945,-0.23563325844169947,-0.10442568260000001,1.7958815024979082
329,"(3,-1)",V-N,V,N,7.6886769874,21.2096502527,30.5819125056,4.06867264385712,11.22366356531246,16.18325116431288,0.09959056188,0.4087876875,0.12956859602373968,-0.23176551789873967,-0.10219692187499999,1.7887476210383213
330,"(3,-1)",N-V,N,V,7.611714182,13.6472728293,30.6150509172,4.027945681150969,7.221825772473272,16.200787256537687,0.09909008401,0.3855009411,0.12517376027585023,-0.22154899555085023,-0.096375235275,1.769931613962976
332,"(3,-1)",V-N,V,N,15.4661062696,1.8448525982,30.6036181951,8.184310979539253,0.9762539524739914,16.194737320543585,0.09801405529,0.417573476,0.12942055334884203,-0.23381392234884202,-0.10439336899999999,1.8066212537247974
333,"(3,-1)",N-V,N,V,21.2021688586,7.7071600245,30.5757153402,11.219704582048829,4.078453445879029,16.179971765610894,0.09757725409,0.4117944588,0.12801369264537807,-0.23096230734537807,-0.1029486147,1.8042000240176412
335,"(3,-1)",N-V,N,V,11.7308213674,9.7337358849,30.5955905082,6.207683333001474,5.1508712074033,16.190489251579702,0.09531567044,0.4007243143,0.12389260012141787,-0.22407367869641787,-0.100181078575,1.8086122857767133
337,"(3,-1)",N-V,N,V,17.4093743399,15.485310403,30.5839000122,9.2126441570505,8.194473369290002,16.18430290751215,0.09486800111,0.3948674813,0.12247015115752424,-0.22118702148252423,-0.09871687032499998,1.8060484076485528
345,"(3,-1)",N-V,N,V,7.6832762654,17.4913892963,30.5043158312,4.0658147048522055,9.256044602931976,16.142188772577217,0.09401011015,0.2610759852,0.09932020139176281,-0.16458919769176283,-0.06526899630000002,1.6571573092421574
350,"(3,-1)",N-V,N,V,15.4805456238,21.2020387428,30.5884934405,8.191951956722296,11.219635727732687,16.186733645088506,0.09367056478,0.4044023715,0.12287239462693411,-0.22397298750193412,-0.101100592875,1.8228096569775678
351,"(3,-1)",V-N,V,N,11.6629203655,13.576374305,30.5088850854,6.171751670197358,7.184307889125853,16.14460671777076,0.09348459122,0.4031797378,0.12248518698200894,-0.22328012143200893,-0.10079493444999998,1.8229153004828667
352,"(3,-1)",V-N,V,N,17.4051557613,11.642137732,30.5352113331,9.210411781392905,6.160753974166255,16.158537968102635,0.09296969237,0.2473047627,0.09599942190153296,-0.15782561257653296,-0.061826190675,1.6440266977692366
353,"(3,-1)",N-V,N,V,1.8951584977,19.3179027808,30.5609184419,1.0028746880642232,10.222593914367456,16.172141584238236,0.09280525177,0.381292481,0.1181693104118659,-0.2134924306618659,-0.09532312025,1.806665621706363
355,"(3,-1)",V-N,V,N,13.5204135387,23.1163918216,30.5864130778,7.154694726894274,12.232667750688186,16.18563276455722,0.09237777287,0.3197058566,0.1074861957387165,-0.1874126598887165,-0.07992646415,1.743597478733825
356,"(3,-1)",N-V,N,V,3.7498382193,5.7801956852,30.5844456723,1.9843289302903935,3.0587478312659546,16.184591658401978,0.09209029083,0.3026827903,0.10436818027588778,-0.1800388778508878,-0.07567069757500001,1.725036092178396
367,"(3,-1)",V-N,V,N,11.6633016451,17.3411534775,30.5279472393,6.171953434672666,9.17654323135911,16.15469397520569,0.09122566804,0.37654371,0.11583721507318323,-0.20997314257318322,-0.0941359275,1.8126570328933334
369,"(3,-1)",N-V,N,V,15.5241795571,13.5465348557,30.5699182874,8.215042039847459,7.168517532569891,16.176904097378635,0.09032487647,0.2342988268,0.0912590657805086,-0.1498337724805086,-0.05857470670000001,1.6418508254388746
