slab,adsorbate,E_adsorption_eV,E_combi_eV,E_ads_eV,E_slab_eV,combi_file,src_combi,src_ads,src_slab
NbN,Li2S,-4.6021378135,-136152.2363119527,-721.7496399783,-135425.8845341609,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/NbN_Li2S_combi_relax/NbN_Li2S_combi.out,ase,ase,ase
NbN,Li2S2,-4.7570394325,-136481.1570381585,-1050.5154645651,-135425.8845341609,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/NbN_Li2S2_combi_relax/NbN_Li2S2_combi.out,ase,ase,ase
NbN,Li2S4,-4.5522046520,-137137.8517424448,-1707.4150036319,-135425.8845341609,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/NbN_Li2S4_combi_relax/NbN_Li2S4_combi.out,ase,ase,ase
NbN,Li2S6,-5.9285497811,-137795.2152834985,-2363.4021995565,-135425.8845341609,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/NbN_Li2S6_combi_relax/NbN_Li2S6_combi_restart.out,ase,ase,ase
NbN,Li2S8,-7.6328534475,-138452.6334150781,-3019.1160274698,-135425.8845341609,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/NbN_Li2S8_combi_relax/NbN_Li2S8_combi_restart.out,ase,ase,ase
NbN,S8,-9.1886663609,-138057.9421512007,-2622.8689506789,-135425.8845341609,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/NbN_S8_combi_relax/NbN_S8_combi_restart.out,ase,ase,ase
ScN,Li2S,-1.8411093070,-113143.5849603608,-721.7496399783,-112419.9942110756,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/ScN_Li2S_combi_relax/ScN_Li2S_combi_restart.out,ase,ase,ase
ScN,Li2S2,-2.7902353012,-113473.2999109419,-1050.5154645651,-112419.9942110756,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/ScN_Li2S2_combi_relax/ScN_Li2S2_combi_restart.out,ase,ase,ase
ScN,Li2S4,-1.9092154551,-114129.3184301626,-1707.4150036319,-112419.9942110756,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/ScN_Li2S4_combi_relax/ScN_Li2S4_combi_restart.out,ase,ase,ase
ScN,Li2S6,-2.0549412594,-114785.4513518915,-2363.4021995565,-112419.9942110756,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/ScN_Li2S6_combi_relax/ScN_Li2S6_combi_restart.out,ase,ase,ase
ScN,Li2S8,-3.9852483942,-115443.0954869395,-3019.1160274698,-112419.9942110756,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/ScN_Li2S8_combi_relax/ScN_Li2S8_combi_restart.out,ase,ase,ase
ScN,S8,-2.0119701305,-115044.8751318850,-2622.8689506789,-112419.9942110756,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/ScN_S8_combi_relax/ScN_S8_combi.out,ase,ase,ase
TiN,Li2S,-3.3698892070,-137543.5214584629,-721.7496399783,-136818.4019292775,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/TiN_Li2S_combi_relax/TiN_Li2S_combi.out,ase,ase,ase
TiN,Li2S2,-3.5073839759,-137872.4247778186,-1050.5154645651,-136818.4019292775,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/TiN_Li2S2_combi_relax/TiN_Li2S2_combi.out,ase,ase,ase
TiN,Li2S4,-3.7639288213,-138529.5808617307,-1707.4150036319,-136818.4019292775,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/TiN_Li2S4_combi_relax/TiN_Li2S4_combi_restart.out,ase,ase,ase
TiN,Li2S6,-7.5146127736,-139189.3187416076,-2363.4021995565,-136818.4019292775,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/TiN_Li2S6_combi_relax/TiN_Li2S6_combi_restart.out,ase,ase,ase
TiN,Li2S8,-5.7903408495,-139843.3082975968,-3019.1160274698,-136818.4019292775,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/TiN_Li2S8_combi_relax/TiN_Li2S8_combi_restart.out,ase,ase,ase
TiN,S8,-7.2320224161,-139448.5029023725,-2622.8689506789,-136818.4019292775,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/TiN_S8_combi_relax/TiN_S8_combi_restart.out,ase,ase,ase
VN,Li2S,-3.6947244217,-162744.4193151006,-721.7496399783,-162018.9749507006,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/VN_Li2S_combi_relax/VN_Li2S_combi_restart.out,ase,ase,ase
VN,Li2S2,-3.8426806070,-163073.3330958728,-1050.5154645651,-162018.9749507006,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/VN_Li2S2_combi_relax/VN_Li2S2_combi_restart.out,ase,ase,ase
VN,Li2S4,-3.5959804321,-163729.9859347647,-1707.4150036319,-162018.9749507006,/home/ameer_ubuntu/Git_projects/QE_2/no_u/combi_144/VN_Li2S4_combi_relax/VN_Li2S4_combi_restart.out,ase,ase,ase
