atom_index,d_band_center_eV
1,-1.605373
2,-2.260762
3,-2.260762
4,-1.605645
5,-2.509464
6,-2.113283
7,-2.113283
8,-2.509135
9,-1.605973
10,-2.260415
11,-2.260426
12,-1.605881
13,-2.509536
14,-2.112597
15,-2.111084
16,-2.510151
17,-1.605973
18,-2.260415
19,-2.260762
20,-1.605645
21,-2.509536
22,-2.112597
23,-2.113283
24,-2.509135
25,-1.605973
26,-2.260426
27,-2.260415
28,-1.605881
29,-2.509536
30,-2.111084
31,-2.112597
32,-2.510151
33,-1.605214
34,-2.261756
35,-2.261756
36,-1.604148
37,-2.509654
38,-2.113122
39,-2.113122
40,-2.509873
41,-1.605214
42,-2.261756
43,-2.260415
44,-1.605881
45,-2.509654
46,-2.113122
47,-2.112597
48,-2.510151
49,-1.605973
50,-2.260762
51,-2.260415
52,-1.605645
53,-2.509536
54,-2.113283
55,-2.112597
56,-2.509135
57,-1.605214
58,-2.260415
59,-2.261756
60,-1.605881
61,-2.509654
62,-2.112597
63,-2.113122
64,-2.510151
65,-1.605214
66,-2.260415
67,-2.260415
68,-1.605645
69,-2.509654
70,-2.112597
71,-2.112597
72,-2.509135
