atom_index,d_band_center_eV
1,0.589898
2,-0.520869
3,-0.520869
4,0.591684
5,-0.538881
6,0.387317
7,0.387317
8,-0.536763
9,0.588811
10,-0.522555
11,-0.522316
12,0.591229
13,-0.540587
14,0.386323
15,0.386127
16,-0.537685
17,0.588811
18,-0.522555
19,-0.520869
20,0.591684
21,-0.540587
22,0.386323
23,0.387317
24,-0.536763
25,0.588811
26,-0.522316
27,-0.522555
28,0.591229
29,-0.540587
30,0.386127
31,0.386323
32,-0.537685
33,0.58759
34,-0.523186
35,-0.523186
36,0.589625
37,-0.541864
38,0.386342
39,0.386342
40,-0.538923
41,0.58759
42,-0.523186
43,-0.522555
44,0.591229
45,-0.541864
46,0.386342
47,0.386323
48,-0.537685
49,0.588811
50,-0.520869
51,-0.522555
52,0.591684
53,-0.540587
54,0.387317
55,0.386323
56,-0.536763
57,0.58759
58,-0.522555
59,-0.523186
60,0.591229
61,-0.541864
62,0.386323
63,0.386342
64,-0.537685
65,0.58759
66,-0.522555
67,-0.522555
68,0.591684
69,-0.541864
70,0.386323
71,0.386323
72,-0.536763
