atom_index,d_band_center_eV
1,-1.114615
2,-1.934953
3,-1.934953
4,-1.114841
5,-1.979821
6,-1.639272
7,-1.639272
8,-1.981025
9,-1.114953
10,-1.934992
11,-1.934376
12,-1.114795
13,-1.979853
14,-1.639384
15,-1.639309
16,-1.980978
17,-1.114953
18,-1.934992
19,-1.934953
20,-1.114841
21,-1.979853
22,-1.639384
23,-1.639272
24,-1.981025
25,-1.114953
26,-1.934376
27,-1.934992
28,-1.114795
29,-1.979853
30,-1.639309
31,-1.639384
32,-1.980978
33,-1.114402
34,-1.934817
35,-1.934817
36,-1.113542
37,-1.981996
38,-1.639793
39,-1.639793
40,-1.97849
41,-1.114402
42,-1.934817
43,-1.934992
44,-1.114795
45,-1.981996
46,-1.639793
47,-1.639384
48,-1.980978
49,-1.114953
50,-1.934953
51,-1.934992
52,-1.114841
53,-1.979853
54,-1.639272
55,-1.639384
56,-1.981025
57,-1.114402
58,-1.934992
59,-1.934817
60,-1.114795
61,-1.981996
62,-1.639384
63,-1.639793
64,-1.980978
65,-1.114402
66,-1.934992
67,-1.934992
68,-1.114841
69,-1.981996
70,-1.639384
71,-1.639384
72,-1.981025
