atom_index,d_band_center_eV
1,-1.380655
2,-1.48737
3,-1.48737
4,-1.381269
5,-1.662861
6,-1.784187
7,-1.784187
8,-1.662233
9,-1.380895
10,-1.488147
11,-1.487537
12,-1.381838
13,-1.661957
14,-1.784136
15,-1.783556
16,-1.661107
17,-1.380895
18,-1.488147
19,-1.48737
20,-1.381269
21,-1.661957
22,-1.784136
23,-1.784187
24,-1.662233
25,-1.380895
26,-1.487537
27,-1.488147
28,-1.381838
29,-1.661957
30,-1.783556
31,-1.784136
32,-1.661107
33,-1.381968
34,-1.488075
35,-1.488075
36,-1.381595
37,-1.660715
38,-1.783714
39,-1.783714
40,-1.660553
41,-1.381968
42,-1.488075
43,-1.488147
44,-1.381838
45,-1.660715
46,-1.783714
47,-1.784136
48,-1.661107
49,-1.380895
50,-1.48737
51,-1.488147
52,-1.381269
53,-1.661957
54,-1.784187
55,-1.784136
56,-1.662233
57,-1.381968
58,-1.488147
59,-1.488075
60,-1.381838
61,-1.660715
62,-1.784136
63,-1.783714
64,-1.661107
65,-1.381968
66,-1.488147
67,-1.488147
68,-1.381269
69,-1.660715
70,-1.784136
71,-1.784136
72,-1.662233
