atom_index,d_band_center_eV
1,-1.180286
2,-2.455823
3,-2.455823
4,-1.178294
5,-2.51735
6,-1.695968
7,-1.695968
8,-2.516162
9,-1.179442
10,-2.455339
11,-2.456356
12,-1.17907
13,-2.517112
14,-1.69536
15,-1.697967
16,-2.516712
17,-1.179442
18,-2.455339
19,-2.455823
20,-1.178294
21,-2.517112
22,-1.69536
23,-1.695968
24,-2.516162
25,-1.179442
26,-2.456356
27,-2.455339
28,-1.17907
29,-2.517112
30,-1.697967
31,-1.69536
32,-2.516712
33,-1.178463
34,-2.455441
35,-2.455441
36,-1.178798
37,-2.516169
38,-1.695715
39,-1.695715
40,-2.516408
41,-1.178463
42,-2.455441
43,-2.455339
44,-1.17907
45,-2.516169
46,-1.695715
47,-1.69536
48,-2.516712
49,-1.179442
50,-2.455823
51,-2.455339
52,-1.178294
53,-2.517112
54,-1.695968
55,-1.69536
56,-2.516162
57,-1.178463
58,-2.455339
59,-2.455441
60,-1.17907
61,-2.516169
62,-1.69536
63,-1.695715
64,-2.516712
65,-1.178463
66,-2.455339
67,-2.455339
68,-1.178294
69,-2.516169
70,-1.69536
71,-1.69536
72,-2.516162
