cp_no,cp_type,bond_type,atom1,atom2,x_bohr,y_bohr,z_bohr,x_ang,y_ang,z_ang,bond_length_ang,rho,laplacian,G_ked,V_ped,H_ted,abs_V_over_G
306,"(3,-1)",V-N,V,N,7.890486127112225,1.9361811291950257,30.87150491856368,4.1754654415482,1.02458292978336,16.33649686970859,2.012566768570944,0.0981953067,0.355974952,0.1193386307706959,-0.20833236877069589,-0.08899373799999999,1.74572447685442
312,"(3,-1)",N-V,N,V,21.644225874107825,7.913653160655651,30.91757097103346,11.453631080582879,4.187724907744,16.360873974872643,2.052519647995404,0.0893037722,0.27713921,0.09741914941577172,-0.16670395191577173,-0.0692848025,1.7112031147418651
321,"(3,-1)",N-V,N,V,17.77838651294519,23.67049694530152,30.882259206393396,9.40791698957808,12.525887554605038,16.34218779374775,2.0688712238128324,0.0851473421,0.152935011,0.07280651855846539,-0.11104027130846539,-0.03823375275,1.5251418898611033
322,"(3,-1)",N-V,N,V,23.66001797908928,13.770380095334131,30.95979152682127,12.52034232449152,7.2869713321572,16.38321613082793,2.06855371748628,0.0850727106,0.225619902,0.0848515646281324,-0.1412565401281324,-0.05640497550000001,1.6647487968807475
323,"(3,-1)",N-V,N,V,21.620131496326604,23.636067544452448,30.907562157650858,11.44088088494976,12.50766830029008,16.35557753892222,2.070511673166684,0.0849027576,0.320807964,0.10055903036500516,-0.18076102136500516,-0.080201991,1.797561300152617
325,"(3,-1)",N-V,N,V,17.813437852347413,7.906704826207068,30.861455903163627,9.42646535960196,4.1840480074999595,16.331179159766698,2.07331631238456,0.0844219066,0.264186327,0.09067842649785576,-0.15672500824785576,-0.06604658175,1.7283604744901675
329,"(3,-1)",V-N,V,N,11.843600489505748,1.9326935856752443,30.885420276136212,6.267363474287399,1.0227374012305999,16.343860559817777,2.071411274425248,0.0842964824,0.228481944,0.08461224785493894,-0.14173273385493895,-0.05712048600000001,1.675085315047162
333,"(3,-1)",N-V,N,V,9.81910148152878,3.877701886150906,30.83416518548757,5.19604473573584,2.05199146889256,16.316737533902877,2.0795606034734164,0.0834566704,0.249456345,0.08733791856064546,-0.14970200481064547,-0.062364086250000006,1.7140551008975078
334,"(3,-1)",N-V,N,V,11.785475632254235,13.835404990321308,30.88582974112881,6.23660512444192,7.32138102472688,16.34407723936053,2.076967635139908,0.083417917,0.181555416,0.07598568640613812,-0.12137454040613813,-0.045388854000000006,1.5973342631584557
342,"(3,-1)",V-N,V,N,21.641990730643688,15.768882213838552,30.936379559347785,11.45244829359852,8.34453310924508,16.37082705117816,2.0804602047319802,0.0829958004,0.273878716,0.09098790748714469,-0.1594575864871447,-0.068469679,1.7525140525918106
344,"(3,-1)",V-N,V,N,23.599721190247887,1.9889613869652385,30.99466652880256,12.488434637945,1.0525130393818398,16.40167118710722,2.077867236398472,0.0824564917,0.157646793,0.07112593494107375,-0.11053763319107375,-0.03941169825,1.5541114964977503
353,"(3,-1)",N-V,N,V,23.625173557957112,21.650612167397224,30.9858776729373,12.501903450900679,11.45701056145388,16.39702032487326,2.0843231983716963,0.0814196046,0.266353399,0.08830763925781548,-0.15489598900781548,-0.06658834975,1.7540497097379573
354,"(3,-1)",V-N,V,N,15.781375673826492,21.6658111903031,30.945288028623015,8.351144363556239,11.46505353800392,16.375541210102792,2.08813327429032,0.0812092684,0.215254954,0.07960231240946264,-0.13341605090946262,-0.053813738499999986,1.6760323522159757
355,"(3,-1)",V-N,V,N,13.782712566279006,0.014009597975905216,30.906364038266467,7.29349739473556,0.007413559983,16.35494352144804,2.0853286350724445,0.0811822353,0.184072339,0.0743809530041287,-0.12039903775412869,-0.04601808474999999,1.6186810317884155
380,"(3,-1)",V-N,V,N,11.827754669444486,9.834547906714077,31.079296738756597,6.25897822742264,5.20421863193408,16.446455565570268,2.0890857932699762,0.080573641,0.186171057,0.07418607153311116,-0.12072883578311117,-0.04654276425000001,1.6273787422377093
389,"(3,-1)",N-V,N,V,7.891133634513393,21.68055423541934,30.944735623123908,4.1758080877088,11.472855221499,16.375248889701478,2.089879559086356,0.0804941228,0.158736867,0.06954274282566372,-0.10922695957566372,-0.03968421675,1.5706449751267955
404,"(3,-1)",N-V,N,V,15.759816873473609,17.79894694448245,30.97567380532187,8.33973593771472,9.41879710139428,16.39162067066793,2.092737116025324,0.0804207229,0.234570019,0.0821161393499634,-0.1407586440999634,-0.05864250474999999,1.7141410350537398
416,"(3,-1)",N-V,N,V,23.6535069192915,9.91688551604319,30.957968539042124,12.516896820027599,5.24778981839268,16.38225144723942,2.0922079388144037,0.0803233693,0.254647946,0.08537569655691224,-0.14903768305691223,-0.06366198649999999,1.7456687215144688
426,"(3,-1)",V-N,V,N,15.788788272265455,5.914558223674987,31.141665950107235,8.35506694172384,3.1298494246282798,16.47945993088008,2.092472527419864,0.0801926456,0.108026223,0.06082234872870798,-0.08782890447870798,-0.027006555749999994,1.4440235590121657
430,"(3,-1)",V-N,V,N,17.696907590761978,11.846820507115726,30.952505531559122,9.3648002007884,6.26906743422536,16.37936054817633,2.0923666919776798,0.0800954299,0.261663563,0.08634209494181543,-0.15175798569181542,-0.06541589075,1.7576361309519155
434,"(3,-1)",V-N,V,N,1.9439183099546464,11.826297718604712,30.853064600582076,1.0286772695181199,6.2582072422408,16.326738673670608,2.093266293236244,0.079813318,0.191465521,0.0743918679456534,-0.1222582481956534,-0.04786638024999999,1.6434356546197837
435,"(3,-1)",V-N,V,N,19.717042138431623,17.707698354870868,30.914304681195567,10.43380936640736,9.37051042724324,16.35914552872617,2.091520008440208,0.0797666794,0.246171534,0.08346817221219949,-0.1450110557121995,-0.061542883500000006,1.7373215666390867
438,"(3,-1)",N-V,N,V,17.77422163170155,15.775008320424519,30.936059928492963,9.40571302933776,8.34777490524204,16.370657909813882,2.0972351223181445,0.0797163471,0.152616914,0.06783111305960064,-0.10598534155960064,-0.0381542285,1.5624886100051951
442,"(3,-1)",N-V,N,V,3.917147989680326,9.822272728928647,31.137746005244807,2.07286544793992,5.197722887590039,16.47738558539082,2.098822653950904,0.0796303464,0.218330174,0.07870712193873496,-0.13328966543873494,-0.05458254349999998,1.6934892568233741
447,"(3,-1)",N-V,N,V,11.824157037829076,21.750499713158206,30.96094944418821,6.25707444275848,11.50986877432532,16.38382887431064,2.096018014733028,0.0795116407,0.241410258,0.08244871324325098,-0.14280127774325097,-0.06035256449999998,1.7320012905712665
448,"(3,-1)",N-V,N,V,21.739518603180745,11.847482929678234,30.932579227895314,11.50405782117464,6.269417973149439,16.36881600237957,2.097605546365788,0.0794039003,0.21054851,0.07720979722271662,-0.1298469247227166,-0.05263712749999999,1.6817415586284319
451,"(3,-1)",N-V,N,V,9.913994105479949,23.674569494593985,30.942666956349207,5.2462597498152,12.52804265488096,16.37415419838732,2.09660010966504,0.0793423332,0.24924861,0.08360539934603775,-0.14591755184603775,-0.062312152499999995,1.7453125394700135
455,"(3,-1)",N-V,N,V,7.885389166658938,17.80682001893431,30.944201085188126,4.17276824623136,9.42296335297408,16.37496602440749,2.098505147624352,0.079153344,0.239999406,0.0818970077743449,-0.1418968592743449,-0.05999985149999999,1.7326256859752522
456,"(3,-1)",V-N,V,N,1.944334513980699,7.905037169119747,31.214500094026157,1.0288975152038,4.18316552137372,16.51800210001884,2.098928489393088,0.0790375187,0.319052448,0.0949703843753085,-0.1747334963753085,-0.079763112,1.8398735303080203
457,"(3,-1)",V-N,V,N,5.8828601913404555,15.759459383098559,31.045137928271444,3.11307554828584,8.33954676195512,16.42837950150939,2.094959660311188,0.0789319603,0.205198946,0.07590181013586383,-0.12720154663586383,-0.0512997365,1.675869737601432
459,"(3,-1)",V-N,V,N,1.9163844486179713,19.73459870382409,30.973067622684162,1.0141069775701201,10.44309990071508,16.39024153820856,2.098610983066536,0.0786926629,0.260439423,0.0848980566785105,-0.1500079124285105,-0.06510985575,1.7669180932675068
460,"(3,-1)",N-V,N,V,1.9526093507944515,0.0078306964537565,30.931542909223154,1.0332763702697199,0.00414382610896,16.368267606155012,2.09633552105958,0.0786166203,0.324795025,0.09555718818150107,-0.17675594443150106,-0.08119875624999999,1.849739907538628
461,"(3,-1)",N-V,N,V,13.812756909693187,11.832086458446009,30.92856845625271,7.309396176587399,6.26127051144476,16.3666935934281,2.100674774189124,0.0785591151,0.0910695871,0.05655245976148619,-0.0793198565364862,-0.022767396775000004,1.4025889743969233
463,"(3,-1)",N-V,N,V,9.784850825867231,11.840245761946498,31.16343658336193,5.17792006930068,6.265588228914199,16.49098045386576,2.1085595146318323,0.0781353671,0.255952227,0.08366161478797346,-0.14764967153797345,-0.06398805675,1.764843673077159
465,"(3,-1)",N-V,N,V,7.879308279054186,5.773958916407752,30.92006200715203,4.16955037908876,3.0554474753513197,16.36219217441817,2.1130575209246523,0.0774069089,0.149241218,0.06524130984964577,-0.10255161434964577,-0.0373103045,1.5718815975029443
466,"(3,-1)",V-N,V,N,7.882767175994245,13.764167575511813,31.19517632430296,4.17138074852436,7.28368380824484,16.507776401452258,2.108982856400568,0.0772972386,0.230399428,0.07867240127190403,-0.13627225827190403,-0.057599857000000004,1.7321482002427504
470,"(3,-1)",V-N,V,N,2.0115396267584984,15.763782885899337,31.087319274684212,1.06446092934312,8.34183466110864,16.45070090875695,2.112157919666088,0.0754343609,0.224016189,0.07600393388008113,-0.13200798113008114,-0.05600404725000001,1.7368572176588004
478,"(3,-1)",N-V,N,V,11.856308443718724,5.974731666499558,31.069150444400737,6.274088234054321,3.1616918392736397,16.44108637782186,2.128456577762424,0.0733939202,0.230249922,0.0753154269717377,-0.1328779074717377,-0.0575624805,1.7642853903171851
481,"(3,-1)",V-N,V,N,15.790095597994613,2.0512040124904325,31.161035381381122,8.35575874870696,1.0854504183576,16.4897097924987,2.134224609361452,0.0730989082,0.258187642,0.07972457089303613,-0.14427148139303614,-0.06454691050000001,1.8096238057725078
