surface,adsorbate,u_final,combi_out,E_combi_eV,E_slab_eV,E_adsorbate_eV,E_adsorption_eV
TiN,Li2S,1,TiN_Li2S_combi_u1.out,-137194.29316325675,-136471.78410307254,-721.7496970690735,-0.7593631151358977
TiN,Li2S2,1,TiN_Li2S2_combi_u1.out,-137525.03254084496,-136471.78410307254,-1050.5155476614573,-2.7328901109603976
TiN,Li2S4,3,TiN_Li2S4_combi_u3.out,-138181.52477987317,-136471.78410307254,-1707.4151386893536,-2.3255381112794566
TiN,Li2S6,5,TiN_Li2S6_combi_u5.out,-138838.79891590137,-136471.78410307254,-2363.4023865028953,-3.6124263259321197
TiN,Li2S8,4,TiN_Li2S8_combi_u4.out,-139495.50413436626,-136471.78410307254,-3019.1162662834754,-4.603765010244842
TiN,S8,3,TiN_S8_combi_u3.out,-139101.69981426006,-136471.78410307254,-2622.8691581492776,-7.0465530382471115
VN,Li2S,1,VN_Li2S_combi_u1.out,-162527.17329190625,-161796.60994840477,-721.7496970690735,-8.813646432401697
VN,Li2S2,1,VN_Li2S2_combi_u1.out,-162856.44070194935,-161796.60994840477,-1050.5155476614573,-9.315205883121052
VN,Li2S4,1,VN_Li2S4_combi_u1.out,-163512.93623818125,-161796.60994840477,-1707.4151386893536,-8.9111510871262
VN,Li2S6,7,VN_Li2S6_combi_u7.out,-164173.11232185885,-161796.60994840477,-2363.4023865028953,-13.09998695117838
VN,Li2S8,6,VN_Li2S8_combi_u6.out,-164826.85468515687,-161796.60994840477,-3019.1162662834754,-11.12847046861907
VN,S8,7,VN_S8_combi_u7.out,-164433.1359815951,-161796.60994840477,-2622.8691581492776,-13.656875041034255
